#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g321910.t01      -          LRR_6                PF13516.12   2.1e-17   61.4  43.4      0.35   10.7   0.1  17.9  18   0   0  18  18   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000070F.ver1.0.g451380.t01      -          LRR_6                PF13516.12   3.7e-08   32.5 101.8      0.25   11.2   0.2  23.4  25   0   0  25  25   7   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000049F_003.ver1.0.g158120.t01 -          LRR_6                PF13516.12   4.4e-08   32.3  88.9      0.67    9.8   0.5  19.9  22   0   0  22  22   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547730.t01      -          LRR_6                PF13516.12   4.8e-08   32.2  82.7     0.054   13.2   0.0  19.3  21   0   0  21  21   6   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_004.ver1.0.g131970.t01 -          LRR_6                PF13516.12   5.1e-08   32.1  86.3         2    8.3   0.1  22.6  25   0   0  25  25   6   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000184F.ver1.0.g554810.t01      -          LRR_6                PF13516.12   5.5e-08   32.0  60.4      0.41   10.5   0.0  16.1  17   0   0  17  17   6   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000226F.ver1.0.g573340.t01      -          LRR_6                PF13516.12   5.6e-08   32.0  56.7      0.54   10.1   0.1  15.3  16   0   0  16  16   5   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534860.t01      -          LRR_6                PF13516.12   5.7e-08   31.9  70.1       1.1    9.1   0.2  17.4  19   0   0  19  19   6   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000102F.ver1.0.g491880.t01      -          LRR_6                PF13516.12   6.7e-08   31.7  43.4       1.7    8.6   0.4  14.7  16   0   0  16  16   4   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427620.t01      -          LRR_6                PF13516.12   7.5e-08   31.5  89.1         2    8.4   0.3  23.4  26   0   0  26  26   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208810.t01 -          LRR_6                PF13516.12   7.8e-08   31.5  38.2      0.54   10.1   0.0  13.7  15   0   0  15  15   4   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000070F.ver1.0.g451160.t01      -          LRR_6                PF13516.12   7.9e-08   31.5  76.6      0.16   11.8   1.0  18.0  20   0   0  20  20   8   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512020.t04      -          LRR_6                PF13516.12   7.9e-08   31.5  61.8      0.31   10.9   0.6  15.1  16   0   0  16  16   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570280.t01      -          LRR_6                PF13516.12     8e-08   31.5  93.4       4.4    7.3   0.1  26.5  30   0   0  30  30   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000136F.ver1.0.g524290.t02      -          LRR_6                PF13516.12   8.2e-08   31.4 141.8      0.14   12.0   0.1  30.8  34   0   0  34  34   8   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000000F_025.ver1.0.g002730.t01 -          LRR_6                PF13516.12   8.6e-08   31.4  45.5       1.7    8.6   0.3  14.4  16   0   0  16  16   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_025.ver1.0.g002730.t02 -          LRR_6                PF13516.12   8.6e-08   31.4  45.5       1.7    8.6   0.3  14.4  16   0   0  16  16   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_025.ver1.0.g079080.t01 -          LRR_6                PF13516.12   9.9e-08   31.2  38.8       1.9    8.4   0.0  11.3  12   0   0  12  12   4   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000004F_018.ver1.0.g042550.t01 -          LRR_6                PF13516.12   1.1e-07   31.1  44.4      0.04   13.7   0.2  13.7  16   0   0  16  16   4   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547390.t01      -          LRR_6                PF13516.12   1.1e-07   31.0  87.9      0.18   11.6   0.0  20.5  23   0   0  23  23   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000070F.ver1.0.g451380.t02      -          LRR_6                PF13516.12   1.3e-07   30.8 102.8      0.23   11.3   0.4  23.3  25   0   0  25  25   7   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000010F.ver1.0.g329120.t01      -          LRR_6                PF13516.12   1.6e-07   30.5 101.8      0.23   11.3   0.1  23.7  26   0   0  26  26   7   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000376F.ver1.0.g602580.t01      -          LRR_6                PF13516.12   1.7e-07   30.5 107.2      0.33   10.8   0.5  24.6  27   0   0  27  27   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510320.t01      -          LRR_6                PF13516.12   1.8e-07   30.3  93.5        10    6.2   0.1  26.6  29   0   0  29  29   5   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_003.ver1.0.g247460.t01 -          LRR_6                PF13516.12   1.8e-07   30.3  85.5       4.2    7.4   0.1  21.0  23   0   0  23  23   9   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000316F.ver1.0.g593460.t01      -          LRR_6                PF13516.12   1.8e-07   30.3  85.5       4.2    7.4   0.1  21.0  23   0   0  23  23   9   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000081F.ver1.0.g463710.t01      -          LRR_6                PF13516.12     2e-07   30.2  67.1       1.2    9.1   0.0  19.3  21   0   0  21  21   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000102F_003.ver1.0.g204630.t01 -          LRR_6                PF13516.12   2.6e-07   29.9  44.0       1.7    8.6   0.4  14.5  16   0   0  16  16   4   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428010.t02      -          LRR_6                PF13516.12   2.8e-07   29.8  57.8       1.2    9.1   0.3  15.1  16   0   0  16  16   7   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000052F_015.ver1.0.g161310.t02 -          LRR_6                PF13516.12   3.2e-07   29.6  50.3       1.2    9.1   0.3  14.3  15   0   0  15  15   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g381130.t01      -          LRR_6                PF13516.12   3.2e-07   29.6  17.4     0.061   13.1   0.2   8.0   8   0   0   8   8   2   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000034F_032.ver1.0.g136520.t01 -          LRR_6                PF13516.12   3.3e-07   29.5  43.6         1    9.3   0.0  12.5  13   0   0  13  13   6   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515210.t02      -          LRR_6                PF13516.12   3.3e-07   29.5  95.1      0.16   11.8   0.2  21.6  23   0   0  23  23   6   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160590.t01 -          LRR_6                PF13516.12   3.6e-07   29.4  69.5      0.69    9.8   0.0  17.9  19   0   0  19  19   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552760.t01      -          LRR_6                PF13516.12   3.7e-07   29.4  81.5      0.39   10.6   0.2  23.2  26   0   0  26  26   2   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000503F.ver1.0.g614780.t02      -          LRR_6                PF13516.12   3.8e-07   29.4  61.6      0.31   10.9   0.6  14.9  16   0   0  16  16   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000161F_003.ver1.0.g235690.t01 -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000161F_003.ver1.0.g235690.t02 -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000161F_003.ver1.0.g235690.t03 -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000161F_003.ver1.0.g235690.t04 -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000161F.ver1.0.g542200.t01      -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000161F.ver1.0.g542200.t02      -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000161F.ver1.0.g542200.t03      -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000161F.ver1.0.g542200.t04      -          LRR_6                PF13516.12   3.9e-07   29.3  39.5      0.95    9.4   0.2  12.1  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552810.t01      -          LRR_6                PF13516.12   4.3e-07   29.2 105.6      0.73    9.7   0.2  24.5  27   0   0  27  27   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426300.t01      -          LRR_6                PF13516.12   5.5e-07   28.9  71.6      0.69    9.8   0.0  17.9  19   0   0  19  19   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513480.t01      -          LRR_6                PF13516.12   5.7e-07   28.8  29.1       1.5    8.7   0.5  10.8  12   0   0  12  12   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512920.t01      -          LRR_6                PF13516.12   6.3e-07   28.7  34.8       2.8    7.9   0.6  12.0  14   0   0  14  14   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_005.ver1.0.g197880.t01 -          LRR_6                PF13516.12   6.7e-07   28.6  55.4       1.1    9.1   0.0  17.8  21   0   0  21  21   3   0 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200880.t01 -          LRR_6                PF13516.12   7.8e-07   28.4  47.8         2    8.4   0.3  13.3  14   0   0  14  14   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495900.t01      -          LRR_6                PF13516.12   9.8e-07   28.1  97.9      0.16   11.8   0.1  24.6  28   0   0  28  28   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000027F_004.ver1.0.g120280.t01 -          LRR_6                PF13516.12     1e-06   28.0  19.2     0.074   12.8   0.2   8.0   8   0   0   8   8   2   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000004F_044.ver1.0.g044820.t01 -          LRR_6                PF13516.12   1.1e-06   27.9  66.3     0.091   12.6   0.2  17.2  20   0   0  20  20   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000014F.ver1.0.g337070.t01      -          LRR_6                PF13516.12   1.1e-06   27.9  73.4       1.4    8.9   0.2  19.0  24   0   0  24  24   6   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000190F.ver1.0.g558060.t01      -          LRR_6                PF13516.12   1.1e-06   27.9  72.1      0.51   10.2   0.0  18.4  19   0   0  19  19   5   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080390.t01 -          LRR_6                PF13516.12   1.3e-06   27.7  48.8      0.42   10.5   0.1  12.6  14   0   0  14  14   6   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000195F.ver1.0.g560220.t01      -          LRR_6                PF13516.12   1.5e-06   27.5  50.0       3.1    7.8   0.0  14.4  16   0   0  16  16   3   0 | SP
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g582980.t01      -          LRR_6                PF13516.12   1.5e-06   27.5  92.0         8    6.5   0.0  26.1  29   0   0  29  29   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000098F.ver1.0.g486660.t01      -          LRR_6                PF13516.12   1.7e-06   27.3 108.9      0.16   11.8   0.3  25.9  29   0   0  29  29   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000170F.ver1.0.g548260.t01      -          LRR_6                PF13516.12   2.3e-06   26.9  98.9      0.11   12.3   1.7  22.2  24   0   0  24  24   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t05      -          LRR_6                PF13516.12   2.6e-06   26.8  11.0       1.2    9.0   0.0   5.8   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t05 -          LRR_6                PF13516.12   2.6e-06   26.8  11.0       1.2    9.0   0.0   5.8   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g392830.t01      -          LRR_6                PF13516.12   2.9e-06   26.6  49.9       3.1    7.8   0.0  14.3  16   0   0  16  16   3   0 | SP
VITVvi_vCabSauv08_v1.1_Primary000102F.ver1.0.g491920.t01      -          LRR_6                PF13516.12   3.2e-06   26.5  90.3       1.4    8.8   0.0  21.1  23   1   0  23  23   5   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000294F.ver1.0.g589190.t01      -          LRR_6                PF13516.12   3.3e-06   26.4   1.1     0.084   12.7   0.0   5.2   5   0   0   5   5   2   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391090.t01      -          LRR_6                PF13516.12   3.3e-06   26.4   5.6      0.05   13.4   0.3   3.8   3   0   0   3   3   2   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570350.t01      -          LRR_6                PF13516.12   3.4e-06   26.4  92.5       3.3    7.7   0.0  25.7  29   0   0  29  29   4   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_003.ver1.0.g247480.t01 -          LRR_6                PF13516.12   3.8e-06   26.2 136.6     0.093   12.5   1.1  27.7  30   0   0  30  30   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_006.ver1.0.g247540.t01 -          LRR_6                PF13516.12   3.8e-06   26.2 136.6     0.093   12.5   1.1  27.7  30   0   0  30  30   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t06 -          LRR_6                PF13516.12   3.9e-06   26.2  11.0       1.4    8.8   0.0   6.0   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552690.t01      -          LRR_6                PF13516.12   4.2e-06   26.1 111.1      0.89    9.5   0.2  26.2  29   0   0  29  29   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512020.t03      -          LRR_6                PF13516.12   4.3e-06   26.1  61.9      0.41   10.5   0.6  14.7  16   0   0  16  16   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534870.t01      -          LRR_6                PF13516.12   4.3e-06   26.1  28.1     0.041   13.6   0.2   8.1   8   0   0   8   8   3   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t06      -          LRR_6                PF13516.12   4.3e-06   26.0  11.0       1.4    8.8   0.0   6.0   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000164F.ver1.0.g544140.t01      -          LRR_6                PF13516.12   4.4e-06   26.0  52.5      0.73    9.7   0.4  15.3  19   0   0  19  19   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000081F_014.ver1.0.g185830.t01 -          LRR_6                PF13516.12   4.4e-06   26.0  71.3       1.6    8.7   0.0  19.6  22   0   0  22  22   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000164F_005.ver1.0.g236130.t02 -          LRR_6                PF13516.12   4.8e-06   25.9  52.5      0.73    9.7   0.4  15.3  19   0   0  19  19   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428390.t01      -          LRR_6                PF13516.12   4.8e-06   25.9  93.8      0.42   10.5   0.2  28.5  34   0   0  34  34   3   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000609F.ver1.0.g618870.t01      -          LRR_6                PF13516.12   5.3e-06   25.8   0.8      0.05   13.4   0.0   5.3   5   0   0   5   5   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000178F.ver1.0.g552790.t01      -          LRR_6                PF13516.12   5.6e-06   25.7  97.7       2.6    8.0   0.0  24.4  30   0   0  30  30   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583080.t01      -          LRR_6                PF13516.12   5.7e-06   25.7  97.1       4.1    7.4   0.1  25.3  29   0   0  29  29   6   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t01      -          LRR_6                PF13516.12   6.1e-06   25.6  11.0       1.5    8.7   0.0   6.0   5   0   0   5   5   3   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t01 -          LRR_6                PF13516.12   6.2e-06   25.6  11.0       1.5    8.7   0.0   6.0   5   0   0   5   5   3   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080300.t02 -          LRR_6                PF13516.12   6.2e-06   25.6  76.4       0.6   10.0   0.1  18.0  20   0   0  20  20   7   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391240.t01      -          LRR_6                PF13516.12   6.2e-06   25.6   7.9       1.7    8.6   0.5   4.7   4   0   0   4   4   3   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_005.ver1.0.g247520.t01 -          LRR_6                PF13516.12   6.3e-06   25.5 112.9      0.13   12.1   0.3  23.4  27   0   0  27  27   7   2 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000123F_013.ver1.0.g218180.t01 -          LRR_6                PF13516.12   6.3e-06   25.5  35.6       2.7    8.0   0.2  11.4  14   0   0  14  14   5   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000028F.ver1.0.g386180.t01      -          LRR_6                PF13516.12   6.5e-06   25.5  23.9      0.29   11.0   0.7   7.6   8   0   0   8   8   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124510.t01 -          LRR_6                PF13516.12   6.5e-06   25.5  23.9      0.29   11.0   0.7   7.6   8   0   0   8   8   4   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000316F.ver1.0.g593480.t01      -          LRR_6                PF13516.12   6.5e-06   25.5 137.8     0.092   12.5   1.1  27.7  30   0   0  30  30   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510350.t01      -          LRR_6                PF13516.12   6.6e-06   25.5  72.1       2.1    8.3   0.2  19.2  22   0   0  22  22   4   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570390.t01      -          LRR_6                PF13516.12   6.9e-06   25.4  69.3       3.4    7.7   0.3  18.4  19   0   0  19  19   2   0 | SP
VITVvi_vCabSauv08_v1.1_Primary000136F.ver1.0.g524290.t01      -          LRR_6                PF13516.12   7.2e-06   25.4 102.7       0.1   12.4   0.1  23.6  27   0   0  27  27   7   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g256070.t02      -          LRR_6                PF13516.12   7.2e-06   25.4   0.3       6.5    6.8   0.1   5.7   5   0   0   5   5   1   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547460.t01      -          LRR_6                PF13516.12   7.6e-06   25.3  30.7       1.2    9.0   0.1  10.0  10   0   0  10  10   4   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583030.t01      -          LRR_6                PF13516.12   7.7e-06   25.3  91.8       2.6    8.0   0.1  22.9  26   0   0  26  26   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000036F.ver1.0.g403170.t01      -          LRR_6                PF13516.12   8.6e-06   25.1  66.0     0.062   13.1   0.2  15.1  17   0   0  17  17   5   3 | TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t03      -          LRR_6                PF13516.12   9.4e-06   25.0  11.0       1.7    8.6   0.0   5.9   5   0   0   5   5   3   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t04 -          LRR_6                PF13516.12   9.4e-06   25.0  11.0       1.7    8.6   0.0   5.9   5   0   0   5   5   3   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000021F_018.ver1.0.g106410.t01 -          LRR_6                PF13516.12   9.7e-06   25.0  55.1      0.21   11.4   0.2  15.0  17   1   1  18  18   6   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427510.t01      -          LRR_6                PF13516.12   9.9e-06   24.9  93.7         1    9.3   0.0  21.6  24   0   0  24  24   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000080F_010.ver1.0.g184760.t01 -          LRR_6                PF13516.12   1.1e-05   24.8  25.2      0.69    9.8   0.2   8.1   8   0   0   8   8   3   2 | SP
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512930.t01      -          LRR_6                PF13516.12   1.1e-05   24.8  33.9       1.2    9.0   0.0  10.6  12   0   0  12  12   4   0 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080400.t01 -          LRR_6                PF13516.12   1.1e-05   24.8  50.6      0.11   12.3   0.4  12.0  12   1   1  13  13   7   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428010.t01      -          LRR_6                PF13516.12   1.2e-05   24.7  62.8       1.3    8.9   0.3  16.2  18   0   0  18  18   7   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000052F_015.ver1.0.g161310.t01 -          LRR_6                PF13516.12   1.2e-05   24.6  55.4       1.3    8.9   0.3  15.4  17   0   0  17  17   6   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t02      -          LRR_6                PF13516.12   1.3e-05   24.6  11.0       1.8    8.5   0.0   5.9   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t03 -          LRR_6                PF13516.12   1.3e-05   24.6  11.0       1.8    8.5   0.0   5.9   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000432F.ver1.0.g608540.t01      -          LRR_6                PF13516.12   1.3e-05   24.6  25.4       3.2    7.7   0.7   8.0   8   0   0   8   8   5   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t04      -          LRR_6                PF13516.12   1.3e-05   24.6  11.0       1.8    8.5   0.0   5.9   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t02 -          LRR_6                PF13516.12   1.3e-05   24.6  11.0       1.8    8.5   0.0   5.9   5   0   0   5   5   3   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000057F.ver1.0.g434660.t02      -          LRR_6                PF13516.12   1.3e-05   24.5  67.8      0.17   11.7   0.0  16.1  18   0   0  18  18   5   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427540.t01      -          LRR_6                PF13516.12   1.3e-05   24.5 107.1      0.33   10.8   0.5  24.5  27   0   0  27  27   8   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403350.t01      -          LRR_6                PF13516.12   1.3e-05   24.5  67.4     0.092   12.5   0.1  17.5  20   0   0  20  20   4   2 | TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512020.t01      -          LRR_6                PF13516.12   1.4e-05   24.5  61.9      0.45   10.4   0.6  14.5  16   0   0  16  16   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000229F_001.ver1.0.g243820.t01 -          LRR_6                PF13516.12   1.5e-05   24.4  16.1      0.33   10.8   0.2   6.2   5   1   1   6   6   3   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000394F_001.ver1.0.g249870.t01 -          LRR_6                PF13516.12   1.5e-05   24.4 126.2      0.12   12.1   0.1  26.9  29   0   0  29  29   4   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_003.ver1.0.g077100.t01 -          LRR_6                PF13516.12   1.5e-05   24.4  25.2       3.3    7.7   0.0  10.4  12   0   0  12  12   4   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000046F.ver1.0.g418240.t01      -          LRR_6                PF13516.12   1.6e-05   24.2   8.9        12    5.9   0.1   7.6   8   0   0   8   8   2   0 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000203F.ver1.0.g564560.t01      -          LRR_6                PF13516.12   1.7e-05   24.2  18.1      0.64    9.9   0.3   6.4   7   0   0   7   7   4   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515660.t01      -          LRR_6                PF13516.12   1.8e-05   24.1 145.1      0.21   11.4   0.1  32.0  38   0   0  38  38  12   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g274120.t01      -          LRR_6                PF13516.12   1.8e-05   24.1  58.9      0.56   10.1   0.1  14.7  17   0   0  17  17   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497910.t01      -          LRR_6                PF13516.12   1.8e-05   24.1  49.5      0.58   10.0   0.0  15.2  18   0   0  18  18   4   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547720.t01      -          LRR_6                PF13516.12   1.8e-05   24.1  91.3      0.18   11.6   0.0  20.4  23   0   0  23  23   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000503F.ver1.0.g614780.t04      -          LRR_6                PF13516.12     2e-05   24.0  61.7      0.41   10.5   0.6  14.5  16   0   0  16  16   6   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g322000.t01      -          LRR_6                PF13516.12     2e-05   24.0  16.4       4.3    7.3   0.0   8.7   9   0   0   9   9   2   0 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200930.t01 -          LRR_6                PF13516.12   2.1e-05   23.9  26.3      0.26   11.1   0.1   7.5   8   0   0   8   8   3   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515210.t01      -          LRR_6                PF13516.12   2.1e-05   23.9  95.5       0.2   11.5   0.2  21.3  23   0   0  23  23   6   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000075F.ver1.0.g456770.t02      -          LRR_6                PF13516.12   2.2e-05   23.9  67.1      0.45   10.4   0.0  16.1  18   0   0  18  18   5   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000119F.ver1.0.g510020.t01      -          LRR_6                PF13516.12   2.2e-05   23.9   4.3     0.086   12.6   0.1   5.6   5   0   0   5   5   1   1 | TM
