#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000123F_011.ver1.0.g217250.t01 -          Pkinase              PF00069.31  2.4e-195  642.7  10.3   1.8e-49  164.5   0.2   6.2   4   2   2   6   6   6   6 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000055F.ver1.0.g433960.t01      -          Pkinase              PF00069.31   1.4e-47  158.3   0.0   2.1e-47  157.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000123F_005.ver1.0.g217000.t01 -          Pkinase              PF00069.31   1.4e-47  158.3   0.0   2.1e-47  157.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000130F.ver1.0.g520450.t01      -          Pkinase              PF00069.31   1.4e-47  158.3   0.0     2e-47  157.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459840.t01      -          Pkinase              PF00069.31   1.6e-47  158.1   0.0   2.5e-47  157.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000335F.ver1.0.g597120.t01      -          Pkinase              PF00069.31   1.8e-47  158.0   0.0   2.7e-47  157.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115420.t01 -          Pkinase              PF00069.31   2.2e-47  157.7   0.0   3.2e-47  157.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373920.t01      -          Pkinase              PF00069.31   2.4e-47  157.6   0.0   3.6e-47  157.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000432F.ver1.0.g608590.t01      -          Pkinase              PF00069.31   2.6e-47  157.4   0.0   3.8e-47  156.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g272520.t01      -          Pkinase              PF00069.31   2.8e-47  157.3   0.0   4.1e-47  156.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000022F.ver1.0.g362830.t01      -          Pkinase              PF00069.31   3.1e-47  157.2   0.0   4.3e-47  156.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000123F_005.ver1.0.g216990.t02 -          Pkinase              PF00069.31   3.3e-47  157.1   0.1   4.7e-47  156.6   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425980.t01      -          Pkinase              PF00069.31   3.4e-47  157.0   0.0   4.9e-47  156.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g342270.t01      -          Pkinase              PF00069.31   4.2e-47  156.7   0.0   6.4e-47  156.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000048F.ver1.0.g422730.t01      -          Pkinase              PF00069.31   4.3e-47  156.7   0.0   6.4e-47  156.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000152F_009.ver1.0.g231910.t01 -          Pkinase              PF00069.31   4.3e-47  156.7   0.0     7e-47  156.0   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000046F_009.ver1.0.g153890.t02 -          Pkinase              PF00069.31   5.4e-47  156.4   0.0   7.6e-47  155.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000046F.ver1.0.g417120.t01      -          Pkinase              PF00069.31   5.4e-47  156.4   0.0   7.6e-47  155.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000046F_009.ver1.0.g153890.t01 -          Pkinase              PF00069.31   5.7e-47  156.3   0.0     8e-47  155.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000046F.ver1.0.g417120.t02      -          Pkinase              PF00069.31   5.7e-47  156.3   0.0     8e-47  155.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g342260.t01      -          Pkinase              PF00069.31   6.1e-47  156.2   0.0   8.7e-47  155.7   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000015F_032.ver1.0.g092670.t02 -          Pkinase              PF00069.31   6.1e-47  156.2   0.0   8.7e-47  155.7   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000048F.ver1.0.g422730.t02      -          Pkinase              PF00069.31   6.4e-47  156.1   0.0   1.2e-46  155.3   0.0   1.4   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000048F_006.ver1.0.g157290.t01 -          Pkinase              PF00069.31   6.4e-47  156.1   0.0   1.2e-46  155.3   0.0   1.4   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g356420.t01      -          Pkinase              PF00069.31   6.8e-47  156.1   0.0     1e-46  155.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459790.t01      -          Pkinase              PF00069.31   7.1e-47  156.0   0.0   1.2e-46  155.2   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000015F_032.ver1.0.g092670.t01 -          Pkinase              PF00069.31   8.1e-47  155.8   0.0   1.1e-46  155.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000044F_011.ver1.0.g151770.t01 -          Pkinase              PF00069.31   8.3e-47  155.8   0.0   1.2e-46  155.3   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160340.t01 -          Pkinase              PF00069.31   8.7e-47  155.7   0.0   1.3e-46  155.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391230.t03      -          Pkinase              PF00069.31   8.7e-47  155.7   0.0   1.4e-46  155.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416380.t01      -          Pkinase              PF00069.31     9e-47  155.6   0.0   1.3e-46  155.2   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426070.t01      -          Pkinase              PF00069.31   9.1e-47  155.6   0.0   1.3e-46  155.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g394050.t01      -          Pkinase              PF00069.31   9.5e-47  155.6   0.0   1.4e-46  155.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426040.t01      -          Pkinase              PF00069.31   9.6e-47  155.6   0.1   1.4e-46  155.1   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512020.t02      -          Pkinase              PF00069.31   9.7e-47  155.5   0.1   1.4e-46  155.0   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000503F.ver1.0.g614780.t01      -          Pkinase              PF00069.31   9.7e-47  155.5   0.1   1.4e-46  155.0   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_001.ver1.0.g131500.t01 -          Pkinase              PF00069.31     1e-46  155.5   0.0   1.6e-46  154.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391230.t01      -          Pkinase              PF00069.31   1.2e-46  155.3   0.0   1.9e-46  154.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_001.ver1.0.g131420.t01 -          Pkinase              PF00069.31   1.6e-46  154.8   0.0   2.2e-46  154.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000126F_004.ver1.0.g220020.t01 -          Pkinase              PF00069.31   1.8e-46  154.7   0.0   2.4e-46  154.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000015F_032.ver1.0.g092680.t01 -          Pkinase              PF00069.31   2.1e-46  154.4   0.0   3.2e-46  153.8   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000203F.ver1.0.g564670.t01      -          Pkinase              PF00069.31   2.3e-46  154.3   0.0   3.7e-46  153.7   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000041F.ver1.0.g411810.t01      -          Pkinase              PF00069.31   2.6e-46  154.2   0.0   3.6e-46  153.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000041F_013.ver1.0.g146100.t01 -          Pkinase              PF00069.31   2.6e-46  154.2   0.0   3.6e-46  153.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000119F_006.ver1.0.g216400.t01 -          Pkinase              PF00069.31   2.6e-46  154.1   0.0   3.9e-46  153.6   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000126F_004.ver1.0.g220040.t01 -          Pkinase              PF00069.31   2.8e-46  154.0   0.0   3.8e-46  153.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403320.t01      -          Pkinase              PF00069.31   2.8e-46  154.0   0.0   4.1e-46  153.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000119F.ver1.0.g510020.t01      -          Pkinase              PF00069.31   2.9e-46  154.0   0.0   4.2e-46  153.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000126F_004.ver1.0.g220040.t03 -          Pkinase              PF00069.31   2.9e-46  154.0   0.0   3.9e-46  153.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000126F_004.ver1.0.g220040.t02 -          Pkinase              PF00069.31   2.9e-46  154.0   0.0   3.9e-46  153.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000126F.ver1.0.g516570.t01      -          Pkinase              PF00069.31   2.9e-46  154.0   0.0     4e-46  153.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000119F.ver1.0.g510020.t02      -          Pkinase              PF00069.31   3.1e-46  153.9   0.0   4.5e-46  153.4   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208880.t01 -          Pkinase              PF00069.31   3.5e-46  153.7   0.1   5.2e-46  153.2   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000119F_006.ver1.0.g216370.t02 -          Pkinase              PF00069.31   3.6e-46  153.7   0.0   5.3e-46  153.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000119F_006.ver1.0.g216370.t01 -          Pkinase              PF00069.31   3.6e-46  153.7   0.0   5.4e-46  153.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000432F.ver1.0.g608580.t01      -          Pkinase              PF00069.31   3.7e-46  153.7   0.0   5.4e-46  153.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000052F_016.ver1.0.g161440.t01 -          Pkinase              PF00069.31   3.7e-46  153.7   0.0   4.7e-46  153.3   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497870.t01      -          Pkinase              PF00069.31   5.3e-46  153.1   0.0   8.2e-46  152.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000203F.ver1.0.g564610.t01      -          Pkinase              PF00069.31   5.6e-46  153.0   0.0   8.3e-46  152.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391260.t01      -          Pkinase              PF00069.31   6.6e-46  152.8   0.0   1.2e-45  152.0   0.0   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000396F.ver1.0.g604660.t01      -          Pkinase              PF00069.31   6.8e-46  152.8   0.0   1.1e-45  152.1   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115370.t03 -          Pkinase              PF00069.31   9.4e-46  152.3   0.0   1.3e-45  151.9   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115370.t02 -          Pkinase              PF00069.31   9.7e-46  152.3   0.0   1.9e-45  151.3   0.0   1.5   2   0   0   2   2   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426110.t01      -          Pkinase              PF00069.31   1.1e-45  152.2   0.1   1.5e-45  151.7   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160380.t01 -          Pkinase              PF00069.31   1.1e-45  152.1   0.1   1.6e-45  151.6   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g394090.t01      -          Pkinase              PF00069.31   1.1e-45  152.1   0.0   1.6e-45  151.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459830.t01      -          Pkinase              PF00069.31   1.1e-45  152.1   0.0   1.8e-45  151.4   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g375780.t01      -          Pkinase              PF00069.31   1.2e-45  152.0   0.0   1.8e-45  151.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000144F.ver1.0.g530000.t01      -          Pkinase              PF00069.31   1.2e-45  152.0   0.0   1.8e-45  151.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_020.ver1.0.g103620.t03 -          Pkinase              PF00069.31   1.2e-45  151.9   0.0   2.1e-45  151.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g115370.t01 -          Pkinase              PF00069.31   1.2e-45  151.9   0.0   1.7e-45  151.4   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000092F.ver1.0.g479820.t01      -          Pkinase              PF00069.31   1.4e-45  151.8   0.0   1.9e-45  151.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_020.ver1.0.g103620.t01 -          Pkinase              PF00069.31   1.4e-45  151.7   0.0   2.5e-45  151.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g270980.t01      -          Pkinase              PF00069.31   1.5e-45  151.7   0.1     2e-45  151.2   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g270980.t03      -          Pkinase              PF00069.31   1.5e-45  151.7   0.1     2e-45  151.2   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000092F_011.ver1.0.g195850.t01 -          Pkinase              PF00069.31   1.5e-45  151.6   0.0   2.1e-45  151.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_036.ver1.0.g116780.t01 -          Pkinase              PF00069.31   1.6e-45  151.6   0.0   2.4e-45  151.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000075F.ver1.0.g455720.t01      -          Pkinase              PF00069.31   1.8e-45  151.4   0.0   2.7e-45  150.8   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208870.t01 -          Pkinase              PF00069.31   1.9e-45  151.3   0.0   2.5e-45  150.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000396F.ver1.0.g604680.t01      -          Pkinase              PF00069.31   1.9e-45  151.3   0.0   2.8e-45  150.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000057F.ver1.0.g435770.t01      -          Pkinase              PF00069.31   1.9e-45  151.3   0.0   2.9e-45  150.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000396F.ver1.0.g604680.t02      -          Pkinase              PF00069.31     2e-45  151.3   0.0   2.9e-45  150.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g375790.t01      -          Pkinase              PF00069.31     2e-45  151.3   0.0   2.8e-45  150.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403350.t01      -          Pkinase              PF00069.31   2.2e-45  151.1   0.1   3.3e-45  150.5   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000119F.ver1.0.g509930.t02      -          Pkinase              PF00069.31   2.5e-45  150.9   0.0   3.8e-45  150.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000119F.ver1.0.g509930.t01      -          Pkinase              PF00069.31   2.5e-45  150.9   0.0   3.8e-45  150.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g342330.t01      -          Pkinase              PF00069.31   2.7e-45  150.8   0.0   3.8e-45  150.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000335F_001.ver1.0.g248230.t01 -          Pkinase              PF00069.31   3.1e-45  150.6   0.0   4.6e-45  150.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000015F_032.ver1.0.g092690.t01 -          Pkinase              PF00069.31   3.3e-45  150.5   0.0   4.6e-45  150.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g265510.t01      -          Pkinase              PF00069.31   3.4e-45  150.5   0.0   4.7e-45  150.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g265510.t02      -          Pkinase              PF00069.31   3.4e-45  150.5   0.0   4.7e-45  150.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g258230.t01      -          Pkinase              PF00069.31   3.4e-45  150.5   0.0   8.4e-45  149.2   0.0   1.6   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_009.ver1.0.g000260.t01 -          Pkinase              PF00069.31   3.4e-45  150.5   0.0   8.5e-45  149.2   0.0   1.6   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_025.ver1.0.g002730.t01 -          Pkinase              PF00069.31   3.5e-45  150.5   0.0   4.7e-45  150.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_025.ver1.0.g002730.t02 -          Pkinase              PF00069.31   3.5e-45  150.5   0.0   4.7e-45  150.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000119F_006.ver1.0.g216310.t01 -          Pkinase              PF00069.31   4.1e-45  150.2   0.0   6.3e-45  149.6   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000119F_006.ver1.0.g216310.t02 -          Pkinase              PF00069.31   4.1e-45  150.2   0.0   6.3e-45  149.6   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000335F.ver1.0.g597170.t01      -          Pkinase              PF00069.31   5.5e-45  149.8   0.0   8.2e-45  149.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000031F.ver1.0.g394030.t01      -          Pkinase              PF00069.31   6.7e-45  149.5   0.1     1e-44  148.9   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000008F_018.ver1.0.g069810.t01 -          Pkinase              PF00069.31   7.1e-45  149.4   0.0   9.6e-45  149.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403360.t01      -          Pkinase              PF00069.31   8.3e-45  149.2   0.1   1.3e-44  148.6   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000041F.ver1.0.g412290.t02      -          Pkinase              PF00069.31   8.6e-45  149.2   0.0   1.1e-44  148.8   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000041F_013.ver1.0.g146620.t02 -          Pkinase              PF00069.31   8.6e-45  149.2   0.0   1.1e-44  148.8   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g259770.t01      -          Pkinase              PF00069.31   9.9e-45  149.0   0.0   1.5e-44  148.3   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_021.ver1.0.g000770.t01 -          Pkinase              PF00069.31     1e-44  148.9   0.0   1.5e-44  148.3   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000161F.ver1.0.g541560.t01      -          Pkinase              PF00069.31   1.1e-44  148.9   0.0   1.5e-44  148.4   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_001.ver1.0.g131380.t02 -          Pkinase              PF00069.31   1.1e-44  148.8   0.0   1.6e-44  148.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000008F.ver1.0.g313300.t01      -          Pkinase              PF00069.31   1.1e-44  148.8   0.0   1.6e-44  148.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000196F.ver1.0.g560740.t01      -          Pkinase              PF00069.31   1.2e-44  148.7   0.0   1.7e-44  148.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_001.ver1.0.g131380.t01 -          Pkinase              PF00069.31   1.2e-44  148.6   0.0   1.9e-44  148.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513530.t01      -          Pkinase              PF00069.31   1.3e-44  148.6   0.0   1.8e-44  148.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g513530.t02      -          Pkinase              PF00069.31   1.3e-44  148.6   0.0   1.8e-44  148.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000023F_025.ver1.0.g113780.t01 -          Pkinase              PF00069.31   1.3e-44  148.5   0.0   1.9e-44  148.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000023F.ver1.0.g367520.t01      -          Pkinase              PF00069.31   1.4e-44  148.5   0.0   1.9e-44  148.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000035F_027.ver1.0.g137670.t01 -          Pkinase              PF00069.31   1.4e-44  148.5   0.0   2.3e-44  147.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000035F.ver1.0.g401220.t01      -          Pkinase              PF00069.31   1.4e-44  148.4   0.0   2.3e-44  147.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g371260.t01      -          Pkinase              PF00069.31   1.6e-44  148.3   0.0   2.5e-44  147.7   0.0   1.3   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000035F.ver1.0.g400170.t01      -          Pkinase              PF00069.31   1.7e-44  148.2   0.0   2.4e-44  147.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t01      -          Pkinase              PF00069.31   1.9e-44  148.1   0.0   2.7e-44  147.6   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t01 -          Pkinase              PF00069.31   1.9e-44  148.1   0.0   2.7e-44  147.6   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g376080.t02      -          Pkinase              PF00069.31     2e-44  148.0   0.0   2.8e-44  147.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000043F_024.ver1.0.g150270.t02 -          Pkinase              PF00069.31     2e-44  148.0   0.0   3.8e-44  147.0   0.0   1.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000043F_014.ver1.0.g149160.t02 -          Pkinase              PF00069.31     2e-44  148.0   0.0   3.8e-44  147.0   0.0   1.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000181F.ver1.0.g553510.t01      -          Pkinase              PF00069.31   2.1e-44  147.9   0.0   2.8e-44  147.5   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000119F.ver1.0.g510120.t01      -          Pkinase              PF00069.31   2.1e-44  147.9   0.0   3.3e-44  147.3   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t02      -          Pkinase              PF00069.31   2.2e-44  147.8   0.0   3.1e-44  147.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
