#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P151.ver1.0.g270680.p01         -          LRRNT_2              PF08263.17   1.4e-17   62.7   9.4   3.1e-10   39.2   1.0   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411740.p01          -          LRRNT_2              PF08263.17   5.8e-12   44.7   1.3   5.8e-12   44.7   1.3   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411810.p01          -          LRRNT_2              PF08263.17   5.9e-12   44.7   1.3   5.9e-12   44.7   1.3   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P15.ver1.0.g265330.p01          -          LRRNT_2              PF08263.17     6e-12   44.7   0.9     6e-12   44.7   0.9   2.1   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P259.ver1.0.g346070.p01         -          LRRNT_2              PF08263.17   6.2e-12   44.6   3.1   8.4e-12   44.2   0.1   2.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P199.ver1.0.g308710.p01         -          LRRNT_2              PF08263.17   7.9e-12   44.3   1.1   1.3e-11   43.6   0.2   1.9   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053970.p01 -          LRRNT_2              PF08263.17   7.9e-12   44.3   0.1   2.2e-11   42.9   0.1   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P142.ver1.0.g259020.p01         -          LRRNT_2              PF08263.17   8.1e-12   44.3   0.7     3e-11   42.5   0.2   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g367860.p01           -          LRRNT_2              PF08263.17   8.6e-12   44.2   0.5     2e-11   43.0   0.5   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P77.ver1.0.g498080.p01          -          LRRNT_2              PF08263.17   9.1e-12   44.1   5.8   7.7e-06   25.1   1.1   2.8   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P15.ver1.0.g265280.p01          -          LRRNT_2              PF08263.17   1.1e-11   43.9   0.9   2.4e-11   42.7   0.9   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P224.ver1.0.g329650.p01         -          LRRNT_2              PF08263.17   1.2e-11   43.8   3.5   1.2e-11   43.8   3.5   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P128.ver1.0.g242040.p01         -          LRRNT_2              PF08263.17   1.2e-11   43.7   1.6   1.2e-11   43.7   1.6   2.2   3   0   0   3   3   1   1 | SP
VITVvi_vZin03_v1.1_P397.ver1.0.g402950.p01         -          LRRNT_2              PF08263.17   1.2e-11   43.7   0.0   2.5e-11   42.7   0.0   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000079F_010.ver1.0.g113650.p01 -          LRRNT_2              PF08263.17   1.3e-11   43.7   0.1   1.8e-10   40.0   0.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g114300.p01 -          LRRNT_2              PF08263.17   1.3e-11   43.6   0.1   1.8e-10   40.0   0.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491600.p01          -          LRRNT_2              PF08263.17   1.3e-11   43.6   3.0   1.3e-11   43.6   3.0   2.4   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P15.ver1.0.g265470.p01          -          LRRNT_2              PF08263.17   1.3e-11   43.6   0.9   2.7e-11   42.6   0.9   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P237.ver1.0.g336770.p01         -          LRRNT_2              PF08263.17   1.3e-11   43.6   1.1   1.3e-11   43.6   1.1   2.4   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162490.p01 -          LRRNT_2              PF08263.17   1.4e-11   43.5   3.1   4.4e-11   41.9   3.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346060.p01         -          LRRNT_2              PF08263.17   1.4e-11   43.5   0.8   5.4e-11   41.6   0.8   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000568F_002.ver1.0.g196580.p01 -          LRRNT_2              PF08263.17   1.5e-11   43.4   1.3   1.5e-11   43.4   1.3   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P344.ver1.0.g386140.p01         -          LRRNT_2              PF08263.17   1.5e-11   43.4   1.3   1.5e-11   43.4   1.3   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162400.p01 -          LRRNT_2              PF08263.17   1.6e-11   43.3   3.1   4.3e-11   42.0   3.1   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000158F_001.ver1.0.g154420.p01 -          LRRNT_2              PF08263.17   1.7e-11   43.2   0.5   5.2e-11   41.7   0.1   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241650.p01         -          LRRNT_2              PF08263.17   1.7e-11   43.2   0.5   5.2e-11   41.7   0.1   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053860.p01 -          LRRNT_2              PF08263.17   1.9e-11   43.1   1.3   5.3e-11   41.6   0.1   2.5   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P261.ver1.0.g347930.p01         -          LRRNT_2              PF08263.17   1.9e-11   43.1   2.3   1.9e-11   43.1   2.3   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P529.ver1.0.g452620.p01         -          LRRNT_2              PF08263.17   1.9e-11   43.1   2.3   1.9e-11   43.1   2.3   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000064F_013.ver1.0.g106080.p01 -          LRRNT_2              PF08263.17     2e-11   43.0   7.6     2e-11   43.0   7.6   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491690.p01          -          LRRNT_2              PF08263.17   2.1e-11   42.9   0.7   7.5e-11   41.2   0.7   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000183F_001.ver1.0.g162760.p01 -          LRRNT_2              PF08263.17   2.2e-11   42.9   0.1   5.3e-11   41.7   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000024F_012.ver1.0.g059310.p01 -          LRRNT_2              PF08263.17   2.2e-11   42.9   0.2   5.5e-11   41.6   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215550.p01         -          LRRNT_2              PF08263.17   2.2e-11   42.9   0.1   7.5e-11   41.2   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P68.ver1.0.g485320.p01          -          LRRNT_2              PF08263.17   2.2e-11   42.9   0.0   5.7e-11   41.6   0.0   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P2.ver1.0.g311130.p01           -          LRRNT_2              PF08263.17   2.3e-11   42.8   1.1   5.4e-11   41.6   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P19.ver1.0.g303210.p01          -          LRRNT_2              PF08263.17   2.4e-11   42.8   0.3   2.4e-11   42.8   0.3   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200830.p01           -          LRRNT_2              PF08263.17   2.5e-11   42.7   3.2     7e-11   41.3   3.2   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000572F_001.ver1.0.g196630.p01 -          LRRNT_2              PF08263.17   2.5e-11   42.7   1.7   4.1e-10   38.8   0.3   3.3   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000048F_010.ver1.0.g086610.p01 -          LRRNT_2              PF08263.17   2.5e-11   42.7   1.4   6.4e-11   41.4   1.4   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P41.ver1.0.g416750.p01          -          LRRNT_2              PF08263.17   2.5e-11   42.7   1.4   6.4e-11   41.4   1.4   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491650.p01          -          LRRNT_2              PF08263.17   2.5e-11   42.7   0.9   2.5e-11   42.7   0.9   2.3   3   0   0   3   3   1   1 | SP
VITVvi_vZin03_v1.1_P206.ver1.0.g318700.p01         -          LRRNT_2              PF08263.17   2.6e-11   42.6   0.8     5e-11   41.7   0.8   1.5   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P113.ver1.0.g227580.p01         -          LRRNT_2              PF08263.17   2.6e-11   42.6   3.0   3.5e-11   42.2   0.8   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRRNT_2              PF08263.17   2.8e-11   42.6   0.8   1.1e-10   40.7   0.8   2.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000037F_013.ver1.0.g074710.p01 -          LRRNT_2              PF08263.17   2.8e-11   42.5   1.0   7.3e-11   41.2   1.0   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H001436F_001.ver1.0.g200220.p01 -          LRRNT_2              PF08263.17   2.8e-11   42.5   1.6   2.8e-11   42.5   1.6   2.3   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P155.ver1.0.g273990.p01         -          LRRNT_2              PF08263.17   2.9e-11   42.5   0.1   6.3e-11   41.4   0.1   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076670.p01 -          LRRNT_2              PF08263.17   2.9e-11   42.5   0.1   7.2e-11   41.2   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390310.p01          -          LRRNT_2              PF08263.17   2.9e-11   42.5   0.1   7.2e-11   41.2   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403080.p01         -          LRRNT_2              PF08263.17     3e-11   42.5   0.3   1.3e-10   40.4   0.3   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P199.ver1.0.g308780.p01         -          LRRNT_2              PF08263.17   3.2e-11   42.4   0.2   7.5e-11   41.2   0.2   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463540.p01         -          LRRNT_2              PF08263.17   3.3e-11   42.3   1.6   3.3e-11   42.3   1.6   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P52.ver1.0.g450560.p01          -          LRRNT_2              PF08263.17   3.3e-11   42.3   0.6   1.3e-10   40.5   0.1   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411780.p01          -          LRRNT_2              PF08263.17   3.3e-11   42.3   1.6   3.3e-11   42.3   1.6   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P31.ver1.0.g374340.p01          -          LRRNT_2              PF08263.17   3.3e-11   42.3   0.2   8.3e-11   41.0   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516400.p01          -          LRRNT_2              PF08263.17   3.9e-11   42.1   1.0   1.2e-10   40.5   0.2   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P146.ver1.0.g262330.p01         -          LRRNT_2              PF08263.17   4.1e-11   42.0   0.2   1.1e-10   40.6   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118300.p01 -          LRRNT_2              PF08263.17   4.2e-11   42.0   4.3   4.2e-11   42.0   4.3   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200800.p01           -          LRRNT_2              PF08263.17   4.2e-11   42.0   4.3   4.2e-11   42.0   4.3   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P10.ver1.0.g211750.p01          -          LRRNT_2              PF08263.17   4.4e-11   41.9   0.4   1.5e-10   40.2   0.2   2.1   1   1   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P265.ver1.0.g349510.p01         -          LRRNT_2              PF08263.17   4.4e-11   41.9   0.4   1.5e-10   40.2   0.2   2.1   1   1   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000010F_003.ver1.0.g034000.p01 -          LRRNT_2              PF08263.17   4.5e-11   41.9   2.9   1.2e-10   40.5   2.9   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000128F_003.ver1.0.g140000.p01 -          LRRNT_2              PF08263.17   4.9e-11   41.7   5.0   1.6e-10   40.1   5.0   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P106.ver1.0.g216340.p01         -          LRRNT_2              PF08263.17   4.9e-11   41.7   5.0   1.6e-10   40.1   5.0   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P68.ver1.0.g484900.p01          -          LRRNT_2              PF08263.17     5e-11   41.7   1.0     5e-11   41.7   1.0   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233190.p01          -          LRRNT_2              PF08263.17     5e-11   41.7   2.9   1.4e-10   40.3   2.9   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P117.ver1.0.g230880.p01         -          LRRNT_2              PF08263.17   5.6e-11   41.6   1.1   5.6e-11   41.6   1.1   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403150.p01         -          LRRNT_2              PF08263.17   7.2e-11   41.2   0.4   5.5e-10   38.4   0.3   2.7   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000298F_005.ver1.0.g186210.p01 -          LRRNT_2              PF08263.17   8.1e-11   41.1   0.8   8.1e-11   41.1   0.8   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410640.p01          -          LRRNT_2              PF08263.17   8.2e-11   41.0   1.9   8.2e-11   41.0   1.9   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000024F_012.ver1.0.g059030.p01 -          LRRNT_2              PF08263.17   8.6e-11   41.0   0.1   1.6e-10   40.1   0.1   1.5   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P101.ver1.0.g213750.p01         -          LRRNT_2              PF08263.17   8.7e-11   41.0   2.7   1.6e-10   40.1   2.7   1.5   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000043F_003.ver1.0.g079770.p01 -          LRRNT_2              PF08263.17   8.7e-11   41.0   1.9   8.7e-11   41.0   1.9   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P507.ver1.0.g448150.p01         -          LRRNT_2              PF08263.17   9.4e-11   40.9   0.5   2.5e-10   39.5   0.5   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P339.ver1.0.g384120.p01         -          LRRNT_2              PF08263.17   9.4e-11   40.9   0.1   2.2e-10   39.7   0.1   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P266.ver1.0.g350340.p01         -          LRRNT_2              PF08263.17   9.5e-11   40.8   0.5   2.5e-10   39.5   0.5   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439860.p01          -          LRRNT_2              PF08263.17   9.5e-11   40.8   0.2   2.3e-10   39.6   0.2   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_007.ver1.0.g098700.p01 -          LRRNT_2              PF08263.17   9.7e-11   40.8   0.2   2.3e-10   39.6   0.2   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P41.ver1.0.g414090.p01          -          LRRNT_2              PF08263.17   1.1e-10   40.6   0.4   2.5e-10   39.5   0.4   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P365.ver1.0.g392630.p01         -          LRRNT_2              PF08263.17   1.1e-10   40.6   2.4   2.5e-10   39.5   1.4   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P114.ver1.0.g228830.p01         -          LRRNT_2              PF08263.17   1.2e-10   40.5   0.3   3.3e-10   39.1   0.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456630.p01          -          LRRNT_2              PF08263.17   1.3e-10   40.4   1.5   1.3e-10   40.4   1.5   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000120F_006.ver1.0.g136650.p01 -          LRRNT_2              PF08263.17   1.6e-10   40.1   2.7     3e-10   39.3   2.7   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P193.ver1.0.g307010.p01         -          LRRNT_2              PF08263.17   1.7e-10   40.1   1.4   3.7e-10   38.9   1.4   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P88.ver1.0.g518590.p01          -          LRRNT_2              PF08263.17   1.7e-10   40.1   1.4   3.7e-10   38.9   1.4   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053440.p01 -          LRRNT_2              PF08263.17   1.7e-10   40.1   1.0   3.9e-10   38.9   1.0   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P31.ver1.0.g374080.p01          -          LRRNT_2              PF08263.17   1.7e-10   40.0   0.1   3.7e-10   38.9   0.1   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g347400.p01          -          LRRNT_2              PF08263.17     2e-10   39.8   2.3   4.6e-10   38.7   1.4   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P365.ver1.0.g392600.p01         -          LRRNT_2              PF08263.17     2e-10   39.8   1.2   5.9e-10   38.3   0.6   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000029F_011.ver1.0.g067740.p01 -          LRRNT_2              PF08263.17   2.1e-10   39.8   0.8     5e-10   38.5   0.8   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P114.ver1.0.g228770.p01         -          LRRNT_2              PF08263.17   2.1e-10   39.8   0.5   6.7e-10   38.1   0.5   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P14.ver1.0.g253620.p01          -          LRRNT_2              PF08263.17   2.1e-10   39.7   1.4   5.8e-10   38.3   1.4   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000040F_002.ver1.0.g075950.p01 -          LRRNT_2              PF08263.17   2.2e-10   39.7   0.3   4.6e-10   38.6   0.3   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P34.ver1.0.g384560.p01          -          LRRNT_2              PF08263.17   2.2e-10   39.7   0.3   4.6e-10   38.6   0.3   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338640.p01         -          LRRNT_2              PF08263.17   2.4e-10   39.5   0.5     1e-09   37.5   0.5   2.2   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000120F_003.ver1.0.g135830.p01 -          LRRNT_2              PF08263.17   2.5e-10   39.5   3.2   4.7e-10   38.6   3.2   1.5   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000122F_003.ver1.0.g137770.p01 -          LRRNT_2              PF08263.17   2.8e-10   39.4   2.2   7.5e-10   38.0   2.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118310.p01 -          LRRNT_2              PF08263.17   2.8e-10   39.3  22.2   1.7e-08   33.6   4.4   3.0   3   0   0   3   3   2   2 | SP
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118320.p01 -          LRRNT_2              PF08263.17   2.9e-10   39.3  13.1   4.1e-09   35.6  13.1   2.6   1   1   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000125F_002.ver1.0.g138310.p01 -          LRRNT_2              PF08263.17   3.7e-10   39.0   2.1   5.1e-10   38.5   0.4   2.3   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g309570.p01           -          LRRNT_2              PF08263.17   3.7e-10   39.0   2.9   7.2e-10   38.0   2.9   1.5   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P110.ver1.0.g224780.p01         -          LRRNT_2              PF08263.17   3.7e-10   38.9   2.1   5.1e-10   38.5   0.4   2.3   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215620.p01         -          LRRNT_2              PF08263.17   3.8e-10   38.9   0.3   9.7e-10   37.6   0.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120450.p01 -          LRRNT_2              PF08263.17   3.8e-10   38.9   2.2   1.2e-09   37.3   2.2   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495410.p01          -          LRRNT_2              PF08263.17   3.9e-10   38.9   2.2   1.2e-09   37.3   2.2   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g347440.p01          -          LRRNT_2              PF08263.17   3.9e-10   38.9   1.6   9.4e-10   37.7   0.6   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P489.ver1.0.g438880.p01         -          LRRNT_2              PF08263.17     4e-10   38.9   0.2   8.8e-10   37.7   0.2   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P312.ver1.0.g376060.p01         -          LRRNT_2              PF08263.17   4.4e-10   38.7   0.5   1.3e-09   37.2   0.5   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P371.ver1.0.g395020.p01         -          LRRNT_2              PF08263.17     5e-10   38.5   0.2   1.2e-09   37.3   0.2   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P1.ver1.0.g208460.p01           -          LRRNT_2              PF08263.17     5e-10   38.5   0.2   1.4e-09   37.1   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P133.ver1.0.g248720.p01         -          LRRNT_2              PF08263.17   5.4e-10   38.4   0.6     1e-09   37.5   0.6   1.5   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341360.p01         -          LRRNT_2              PF08263.17   5.5e-10   38.4   1.9   6.3e-10   38.2   0.2   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000084F_006.ver1.0.g118420.p01 -          LRRNT_2              PF08263.17     6e-10   38.3   3.9   1.7e-09   36.8   3.9   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P477.ver1.0.g436510.p01         -          LRRNT_2              PF08263.17   7.1e-10   38.1   2.3   7.4e-10   38.0   0.3   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P225.ver1.0.g329790.p01         -          LRRNT_2              PF08263.17   7.4e-10   38.0   5.5   2.5e-09   36.3   5.5   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P301.ver1.0.g371810.p01         -          LRRNT_2              PF08263.17   7.9e-10   37.9   0.5   7.9e-10   37.9   0.5   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P516.ver1.0.g449980.p01         -          LRRNT_2              PF08263.17   8.6e-10   37.8   1.2   1.5e-09   37.0   1.2   1.4   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000028F_009.ver1.0.g066050.p01 -          LRRNT_2              PF08263.17   8.8e-10   37.7   1.6     2e-09   36.6   1.6   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P26.ver1.0.g346540.p01          -          LRRNT_2              PF08263.17     1e-09   37.6   1.0   3.4e-09   35.9   1.0   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g356210.p01          -          LRRNT_2              PF08263.17     1e-09   37.6   3.2   5.1e-09   35.3   1.6   2.9   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000214F_005.ver1.0.g172290.p01 -          LRRNT_2              PF08263.17     1e-09   37.5   1.0     1e-09   37.5   1.0   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000029F_011.ver1.0.g067750.p01 -          LRRNT_2              PF08263.17   1.1e-09   37.5   1.0   3.6e-09   35.8   1.0   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P201.ver1.0.g317190.p01         -          LRRNT_2              PF08263.17   1.2e-09   37.3   7.8   5.2e-05   22.5   0.6   3.7   3   0   0   3   3   2   2 | SP+TM
VITVvi_vZin03_v1.1_P140.ver1.0.g257870.p01         -          LRRNT_2              PF08263.17   1.2e-09   37.3   2.5     3e-09   36.1   2.5   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200810.p01           -          LRRNT_2              PF08263.17   1.3e-09   37.2  15.9   4.3e-09   35.5  13.1   3.0   2   1   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P85.ver1.0.g511410.p01          -          LRRNT_2              PF08263.17   1.4e-09   37.1   0.3   1.4e-09   37.1   0.3   1.9   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P6.ver1.0.g471960.p01           -          LRRNT_2              PF08263.17   1.5e-09   37.0   0.0   4.4e-09   35.5   0.0   1.9   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020790.p01 -          LRRNT_2              PF08263.17   1.5e-09   37.0   0.0   4.4e-09   35.5   0.0   1.9   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P80.ver1.0.g503650.p01          -          LRRNT_2              PF08263.17   1.5e-09   37.0   0.2   3.3e-09   35.9   0.2   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P456.ver1.0.g429780.p01         -          LRRNT_2              PF08263.17   1.6e-09   37.0   0.3   4.5e-09   35.5   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364070.p01         -          LRRNT_2              PF08263.17   1.7e-09   36.9   3.3   5.6e-09   35.2   3.3   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g309650.p01           -          LRRNT_2              PF08263.17   1.7e-09   36.8   2.0   4.7e-09   35.4   2.0   1.8   1   0   0   1   1   1   1 | SP+TM
