#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_4                PF12799.13   8.6e-78  253.7 194.6     4e-06   25.9   3.2  28.5  15   7  13  32  32  29  21 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353490.p01         -          LRR_4                PF12799.13   5.7e-36  120.8 110.1   1.1e-05   24.6   3.8  17.7   9   4  13  22  22  21  14 | SP+TM
VITVvi_vZin03_v1.1_H000332F_002.ver1.0.g188040.p01 -          LRR_4                PF12799.13   7.2e-36  120.5 104.1   1.7e-05   24.0   1.3  16.2   6   5  15  21  21  21  15 | TM
VITVvi_vZin03_v1.1_P68.ver1.0.g484920.p01          -          LRR_4                PF12799.13   8.3e-36  120.3  62.7   2.6e-09   36.1   0.9  10.5   7   2   3  12  12   9   9 | SP+TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484580.p01         -          LRR_4                PF12799.13   9.4e-36  120.1  86.1     1e-05   24.7   0.1  14.8   7   4   8  16  16  14  11 | TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250040.p01         -          LRR_4                PF12799.13   1.2e-35  119.8  47.0     7e-06   25.2   0.5  11.3   4   2   9  15  15  13  10 | SP+TM
VITVvi_vZin03_v1.1_H000188F_003.ver1.0.g164510.p01 -          LRR_4                PF12799.13   1.2e-35  119.7  82.3   0.00038   19.7   0.2  14.5   9   2   4  15  15  13  11 | TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411810.p01          -          LRR_4                PF12799.13   1.3e-35  119.6  94.1   2.5e-05   23.4   1.6  17.0   7   4   7  18  18  15  10 | SP+TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495380.p01          -          LRR_4                PF12799.13   1.3e-35  119.6 142.7   2.1e-05   23.7   1.4  16.9   9   4   9  19  19  18  15 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411700.p01          -          LRR_4                PF12799.13   1.6e-35  119.4 118.0   6.6e-05   22.1   1.1  17.3  10   5   6  19  19  12  11 | SP+TM
VITVvi_vZin03_v1.1_P146.ver1.0.g262330.p01         -          LRR_4                PF12799.13   1.7e-35  119.3 100.8   0.00012   21.3   2.6  16.4   6   2  18  24  24  21  16 | SP+TM
VITVvi_vZin03_v1.1_P37.ver1.0.g394300.p01          -          LRR_4                PF12799.13   1.8e-35  119.2  66.5   8.6e-05   21.7   2.4  11.6   5   2   9  14  14  14  13 | TM
VITVvi_vZin03_v1.1_P7.ver1.0.g490490.p01           -          LRR_4                PF12799.13     2e-35  119.1  54.7   1.9e-06   27.0   0.0  11.3   8   3   4  12  12  11  10 | SP
VITVvi_vZin03_v1.1_P272.ver1.0.g353780.p01         -          LRR_4                PF12799.13   2.3e-35  118.9  67.7   3.6e-07   29.3   0.6  11.2   8   2   4  12  12  12  10 | TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338610.p01         -          LRR_4                PF12799.13   2.5e-35  118.7 104.3   8.2e-06   25.0   5.8  15.8  10   3   8  18  18  15  10 | TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251800.p01         -          LRR_4                PF12799.13   2.9e-35  118.6 122.6   5.5e-05   22.3   0.0  18.3  10   4   6  19  19  16  11 | SP+TM
VITVvi_vZin03_v1.1_P184.ver1.0.g298920.p01         -          LRR_4                PF12799.13   4.3e-35  118.0  42.2   2.6e-05   23.3   0.7  10.3   4   2  10  15  15  14  11 | SP+TM
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176400.p01 -          LRR_4                PF12799.13   4.4e-35  118.0  42.1   2.8e-05   23.3   0.7  10.3   4   2   6  13  13  12   9 | SP+TM
VITVvi_vZin03_v1.1_P89.ver1.0.g519140.p01          -          LRR_4                PF12799.13   4.4e-35  117.9 107.6   6.1e-05   22.2   0.8  17.3   9   5   5  18  18  16  11 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251680.p01         -          LRR_4                PF12799.13   5.8e-35  117.6  84.4   2.3e-05   23.5   0.2  13.4  10   3   3  14  14  13   8 | SP
VITVvi_vZin03_v1.1_P15.ver1.0.g265470.p01          -          LRR_4                PF12799.13   6.4e-35  117.4  81.9   5.8e-05   22.3   2.1  14.2   6   2   8  16  16  15  10 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456720.p01          -          LRR_4                PF12799.13     7e-35  117.3  98.2   2.4e-05   23.5   1.6  17.0   8   5   9  20  20  15  10 | SP+TM
VITVvi_vZin03_v1.1_H000012F_008.ver1.0.g038430.p01 -          LRR_4                PF12799.13   7.6e-35  117.2  54.0   2.9e-06   26.4   1.4   9.6   7   1   0   9   9   9   7 | TM
VITVvi_vZin03_v1.1_H000012F_011.ver1.0.g038800.p01 -          LRR_4                PF12799.13   7.6e-35  117.2  54.0   2.9e-06   26.4   1.4   9.6   7   1   0   9   9   9   7 | TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200830.p01           -          LRR_4                PF12799.13   9.3e-35  116.9  86.8     1e-06   27.9   1.8  12.5   7   2   4  12  12  11   8 | SP+TM
VITVvi_vZin03_v1.1_P38.ver1.0.g398050.p01          -          LRR_4                PF12799.13     1e-34  116.8  52.8     9e-06   24.8   0.2  13.2   7   3   8  16  16  13  12 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456630.p01          -          LRR_4                PF12799.13   1.6e-34  116.2  99.0   2.9e-05   23.2   1.8  17.0   9   5  10  20  20  16  11 | SP+TM
VITVvi_vZin03_v1.1_H000128F_003.ver1.0.g140000.p01 -          LRR_4                PF12799.13   2.1e-34  115.8  85.9   0.00017   20.8   0.3  14.4  10   4   4  15  15  12  12 | SP+TM
VITVvi_vZin03_v1.1_P106.ver1.0.g216340.p01         -          LRR_4                PF12799.13   2.1e-34  115.8  85.9   0.00017   20.8   0.3  14.4  10   4   4  15  15  12  12 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463540.p01         -          LRR_4                PF12799.13   2.3e-34  115.7 100.2   6.7e-05   22.1   2.7  16.8  12   4   6  19  19  14  11 | SP+TM
VITVvi_vZin03_v1.1_H000006F_006.ver1.0.g024690.p01 -          LRR_4                PF12799.13   2.5e-34  115.6  53.0   1.9e-06   27.0   0.0  11.3   8   3   4  12  12  11  10 | SP
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155770.p01 -          LRR_4                PF12799.13   2.7e-34  115.4  45.7   9.9e-06   24.7   0.5  11.2   5   3   7  14  14  12  11 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327500.p01          -          LRR_4                PF12799.13   3.9e-34  114.9  89.7   0.00067   18.9   2.3  13.3  10   3   4  14  14  14   9 | TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327600.p01          -          LRR_4                PF12799.13   7.5e-34  114.0  86.6   4.4e-05   22.7   1.7  15.9  10   2   9  19  19  16   9 | SP+TM
VITVvi_vZin03_v1.1_H000572F_001.ver1.0.g196630.p01 -          LRR_4                PF12799.13   7.9e-34  114.0  89.2   1.2e-06   27.6   0.8  14.4   8   2   7  16  16  13  12 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053940.p01 -          LRR_4                PF12799.13   8.3e-34  113.9  86.7   4.4e-05   22.7   1.7  15.9  10   2   9  19  19  16   9 | SP+TM
VITVvi_vZin03_v1.1_H000037F_013.ver1.0.g074710.p01 -          LRR_4                PF12799.13     1e-33  113.6  72.2   9.4e-05   21.6   2.5  11.7   4   2   9  14  14  14  13 | SP+TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233890.p01          -          LRR_4                PF12799.13     1e-33  113.6  76.8   1.5e-05   24.1   0.7  13.8   5   3   7  16  16  12  11 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411780.p01          -          LRR_4                PF12799.13   1.1e-33  113.5 102.1   0.00031   19.9   2.0  16.6  11   4   6  19  19  14  11 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353570.p01         -          LRR_4                PF12799.13   1.1e-33  113.5  87.5   0.00016   20.8   3.8  15.3  12   4   5  17  17  14   9 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456650.p01          -          LRR_4                PF12799.13   1.8e-33  112.9 100.1   5.6e-05   22.3   2.6  16.4  10   4   8  19  19  15  10 | TM
VITVvi_vZin03_v1.1_P2.ver1.0.g311130.p01           -          LRR_4                PF12799.13   3.2e-33  112.0  66.4   8.2e-06   25.0   2.0  12.3   9   2   4  13  13  12  10 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240680.p01         -          LRR_4                PF12799.13   6.9e-33  111.0  83.4   6.6e-05   22.1   0.1  14.4   6   3  10  18  18  16  13 | TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393000.p01         -          LRR_4                PF12799.13   9.9e-33  110.5 101.2   2.6e-05   23.4   1.7  17.0   7   4  13  21  21  15  11 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411740.p01          -          LRR_4                PF12799.13     1e-32  110.5 101.2   2.6e-05   23.4   1.7  17.0   7   4  13  21  21  15  11 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410640.p01          -          LRR_4                PF12799.13   1.1e-32  110.4  46.8   0.00055   19.2   2.5  10.0   9   0   0   9   9   9   8 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053860.p01 -          LRR_4                PF12799.13   1.5e-32  109.9  65.0   0.00031   19.9   0.3  14.2   9   2   6  15  15  14  10 | SP
VITVvi_vZin03_v1.1_P108.ver1.0.g218000.p01         -          LRR_4                PF12799.13   1.9e-32  109.6  96.2   9.4e-05   21.6   1.7  14.9   8   5  10  19  19  16  12 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338570.p01         -          LRR_4                PF12799.13     2e-32  109.5  53.1   6.7e-07   28.4   1.2   9.8   6   2   4  11  11  11   8 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453150.p01          -          LRR_4                PF12799.13   2.1e-32  109.5  44.0   3.3e-06   26.2   0.3   7.9   5   1   4   9   9   8   7 | SP+TM
VITVvi_vZin03_v1.1_P658.ver1.0.g481470.p01         -          LRR_4                PF12799.13   2.7e-32  109.1  84.2   5.2e-06   25.6   3.9  13.0   5   3  13  18  18  16  11 | TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240640.p01         -          LRR_4                PF12799.13   2.7e-32  109.1  91.9   1.6e-05   24.0   1.2  14.5   7   4  11  18  18  17  14 | SP
VITVvi_vZin03_v1.1_H000043F_003.ver1.0.g079770.p01 -          LRR_4                PF12799.13   2.8e-32  109.1  47.4   0.00059   19.1   2.5  10.0   9   0   0   9   9   9   8 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342250.p01          -          LRR_4                PF12799.13     5e-32  108.2 115.9   0.00015   21.0   1.9  16.3   6   3  11  20  20  16  12 | SP+TM
VITVvi_vZin03_v1.1_H000064F_013.ver1.0.g106080.p01 -          LRR_4                PF12799.13   5.2e-32  108.2  54.2   2.4e-06   26.7   1.1  12.6   6   3   7  16  16  11  11 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354170.p01         -          LRR_4                PF12799.13   5.7e-32  108.1 113.2   0.00011   21.3   0.9  17.1  11   4   9  20  20  16  13 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463500.p01         -          LRR_4                PF12799.13   6.6e-32  107.9 122.4   4.3e-05   22.7   2.6  17.6   8   4  13  22  22  18  14 | SP+TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497510.p01          -          LRR_4                PF12799.13     1e-31  107.3  52.7   2.8e-07   29.6   1.3   7.6   2   1   3   8   8   8   7 | SP
VITVvi_vZin03_v1.1_P71.ver1.0.g491600.p01          -          LRR_4                PF12799.13   1.3e-31  106.9  73.3   5.2e-06   25.6   2.4  13.4   8   3   5  14  14  13   8 | SP
VITVvi_vZin03_v1.1_P90.ver1.0.g526480.p01          -          LRR_4                PF12799.13   1.9e-31  106.4  77.2   5.3e-05   22.4   3.0  12.3   6   4   8  15  15  13  11 | SP
VITVvi_vZin03_v1.1_P22.ver1.0.g327520.p01          -          LRR_4                PF12799.13   2.1e-31  106.3  55.0   0.00023   20.4   0.2  12.1   5   2   9  15  15  14  11 | SP
VITVvi_vZin03_v1.1_P572.ver1.0.g463520.p01         -          LRR_4                PF12799.13   2.1e-31  106.3 113.0   2.9e-05   23.2   0.3  17.3  10   6   8  19  19  12   8 | SP+TM
VITVvi_vZin03_v1.1_P67.ver1.0.g483450.p01          -          LRR_4                PF12799.13   2.1e-31  106.2  75.7    0.0025   17.0   0.4  12.4   6   2   6  15  15  14  11 | SP
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g065030.p01 -          LRR_4                PF12799.13   2.6e-31  106.0 121.2    0.0013   18.0   1.6  17.2   7   4   8  20  20  15  11 | SP+TM
VITVvi_vZin03_v1.1_P64.ver1.0.g480270.p01          -          LRR_4                PF12799.13   3.1e-31  105.7  80.0   0.00077   18.7   0.3  14.6  13   2   2  15  15  12   9 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341380.p01         -          LRR_4                PF12799.13   3.7e-31  105.5  73.8   5.4e-05   22.3   0.4  13.0   9   3   5  14  14  13  10 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456550.p01          -          LRR_4                PF12799.13   6.2e-31  104.8  69.7     4e-05   22.8   0.4  16.1   6   3  10  18  18  13   9 | SP+TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076670.p01 -          LRR_4                PF12799.13   6.7e-31  104.7  48.2   7.5e-07   28.3   0.1  12.3   7   2   5  13  13  11   8 | SP+TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390310.p01          -          LRR_4                PF12799.13   6.7e-31  104.7  48.2   7.5e-07   28.3   0.1  12.3   7   2   5  13  13  11   8 | SP+TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237090.p01         -          LRR_4                PF12799.13   1.1e-30  104.0 115.9   6.6e-06   25.3   2.7  14.0   6   3   7  15  15  13  10 | SP+TM
VITVvi_vZin03_v1.1_P85.ver1.0.g510490.p01          -          LRR_4                PF12799.13   1.4e-30  103.7  73.4   0.00012   21.3   1.8  12.7   6   3   7  14  14  13  11 | SP
VITVvi_vZin03_v1.1_P26.ver1.0.g347440.p01          -          LRR_4                PF12799.13   1.4e-30  103.6  75.9   1.3e-06   27.5   0.1  12.9  10   3   4  14  14  11   8 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338670.p01         -          LRR_4                PF12799.13   1.5e-30  103.6  34.3   4.8e-06   25.7   2.3   7.7   7   0   0   7   7   6   6 | SP
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152850.p01 -          LRR_4                PF12799.13   1.5e-30  103.5  62.6   1.5e-06   27.3   1.8   9.3   3   2   8  12  12  10  10 | SP+TM
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020140.p01 -          LRR_4                PF12799.13   1.9e-30  103.3  46.4   4.5e-06   25.8   0.5  10.2   7   2   3  10  10   9   8 | SP+TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471210.p01           -          LRR_4                PF12799.13   1.9e-30  103.3  46.4   4.5e-06   25.8   0.5  10.2   7   2   3  10  10   9   8 | SP+TM
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176610.p01 -          LRR_4                PF12799.13   2.7e-30  102.7  24.8   1.1e-06   27.7   1.3   5.3   1   1   5   7   7   7   6 | SP
VITVvi_vZin03_v1.1_P184.ver1.0.g299140.p01         -          LRR_4                PF12799.13   2.7e-30  102.7  24.8   1.1e-06   27.7   1.3   5.3   1   1   5   7   7   7   6 | SP
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064960.p01 -          LRR_4                PF12799.13     3e-30  102.6  92.2   3.5e-06   26.1   3.8  14.3   7   5   7  16  16  14   9 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342190.p01          -          LRR_4                PF12799.13     3e-30  102.6  92.2   3.5e-06   26.1   3.8  14.3   7   5   7  16  16  14   9 | SP+TM
VITVvi_vZin03_v1.1_P307.ver1.0.g372960.p01         -          LRR_4                PF12799.13   3.1e-30  102.6  76.8     4e-06   26.0   0.1  13.0   8   3   7  15  15  13  10 | SP+TM
VITVvi_vZin03_v1.1_P139.ver1.0.g252290.p01         -          LRR_4                PF12799.13   4.7e-30  102.0  90.9    0.0014   17.9   0.7  15.3   6   5   6  16  16  16  12 | SP+TM
VITVvi_vZin03_v1.1_P371.ver1.0.g395020.p01         -          LRR_4                PF12799.13   4.8e-30  102.0  87.6   3.4e-06   26.2   0.8  12.4   3   3  12  16  16  15  13 | SP
VITVvi_vZin03_v1.1_P398.ver1.0.g403100.p01         -          LRR_4                PF12799.13   5.1e-30  101.9  61.6   0.00014   21.0   0.9  10.1   4   2  10  14  14  13  12 | TM
VITVvi_vZin03_v1.1_H000146F_005.ver1.0.g148610.p01 -          LRR_4                PF12799.13   5.2e-30  101.9  69.7   0.00021   20.5   0.6  13.3   7   3   5  14  14  12   6 | TM
VITVvi_vZin03_v1.1_P339.ver1.0.g384140.p01         -          LRR_4                PF12799.13   5.4e-30  101.8  91.1   0.00031   20.0   1.9  12.1   6   3   7  13  13  12  11 | TM
VITVvi_vZin03_v1.1_H000122F_003.ver1.0.g137770.p01 -          LRR_4                PF12799.13   8.3e-30  101.2  76.5    0.0002   20.5   2.4  12.5   4   3   6  13  13  12   9 | SP+TM
VITVvi_vZin03_v1.1_H000230F_001.ver1.0.g175090.p01 -          LRR_4                PF12799.13   8.4e-30  101.2  86.5   1.8e-06   27.1   2.5  13.1   7   3   7  14  14  11   7 | SP+TM
VITVvi_vZin03_v1.1_H000012F_008.ver1.0.g038420.p01 -          LRR_4                PF12799.13   8.9e-30  101.1  44.1   6.4e-06   25.3   6.8   7.2   5   1   1   7   7   7   7 | SP
VITVvi_vZin03_v1.1_P61.ver1.0.g474820.p01          -          LRR_4                PF12799.13   9.6e-30  101.0  60.7   1.7e-05   24.0   1.8  10.5   5   3   4  11  11   9   7 | TM
VITVvi_vZin03_v1.1_H000568F_002.ver1.0.g196580.p01 -          LRR_4                PF12799.13   1.2e-29  100.7  61.8     4e-06   25.9   1.1  11.5   6   2   6  13  13   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000043F_008.ver1.0.g080940.p01 -          LRR_4                PF12799.13   1.2e-29  100.7  48.2    0.0001   21.4   0.1  10.4   8   1   1  10  10   9   6 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118320.p01 -          LRR_4                PF12799.13   1.3e-29  100.6  31.9   1.3e-06   27.5   1.0   7.0   6   1   1   7   7   6   5 | SP
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066670.p01 -          LRR_4                PF12799.13   1.5e-29  100.4  74.8   0.00025   20.3   3.2  12.4   6   3   5  14  14  12   8 | SP+TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497570.p01          -          LRR_4                PF12799.13   1.5e-29  100.3  52.1   1.6e-06   27.2   4.8   7.4   3   1   5   9   9   8   8 | SP
VITVvi_vZin03_v1.1_P40.ver1.0.g410000.p01          -          LRR_4                PF12799.13   1.6e-29  100.3  49.9    0.0001   21.4   0.1  10.9   7   2   4  12  12  10   7 | SP+TM
VITVvi_vZin03_v1.1_P312.ver1.0.g376060.p01         -          LRR_4                PF12799.13   1.8e-29  100.1  63.9   0.00026   20.2   1.7  11.8   5   3   9  15  15  12  10 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200810.p01           -          LRR_4                PF12799.13     2e-29  100.0  32.4   1.3e-06   27.5   1.0   7.1   6   1   1   7   7   6   5 | SP
VITVvi_vZin03_v1.1_P279.ver1.0.g355750.p01         -          LRR_4                PF12799.13   2.3e-29   99.8  58.5   2.3e-06   26.7   1.1   9.8   6   3   4  11  11   9   6 | TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338730.p01         -          LRR_4                PF12799.13   2.8e-29   99.5  42.0     6e-07   28.6   0.7   6.8   5   1   2   7   7   7   7 | TM
VITVvi_vZin03_v1.1_P344.ver1.0.g386140.p01         -          LRR_4                PF12799.13   3.2e-29   99.3  61.9   4.7e-06   25.7   1.1  11.4   6   2   4  12  12   8   8 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338710.p01         -          LRR_4                PF12799.13   3.5e-29   99.2  78.9   5.6e-05   22.3   3.5  11.5   9   2   2  12  12   9   8 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456620.p01          -          LRR_4                PF12799.13   3.7e-29   99.1 100.8   2.1e-05   23.7   2.7  16.8   7   4  13  22  22  14  11 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456570.p01          -          LRR_4                PF12799.13   3.8e-29   99.1  97.8   4.1e-05   22.8   2.3  17.3   8   5  12  22  22  15  10 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353530.p01         -          LRR_4                PF12799.13   4.5e-29   98.9  89.8   0.00016   20.8   0.2  14.8   8   4   8  17  17  16  12 | SP
VITVvi_vZin03_v1.1_P125.ver1.0.g241040.p01         -          LRR_4                PF12799.13   4.8e-29   98.8  74.5    0.0002   20.5   2.4  12.4   4   3   7  13  13  12   9 | SP+TM
VITVvi_vZin03_v1.1_H000481F_001.ver1.0.g194610.p01 -          LRR_4                PF12799.13   1.5e-28   97.2  99.0   9.3e-05   21.6   2.7  13.9   7   5  11  18  18  15  10 | TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491690.p01          -          LRR_4                PF12799.13   1.8e-28   96.9  89.1   1.8e-05   23.9   0.4  15.4  12   3   5  17  17  13   8 | SP+TM
VITVvi_vZin03_v1.1_H000006F_023.ver1.0.g026650.p01 -          LRR_4                PF12799.13   2.9e-28   96.3  56.1   1.1e-06   27.7   1.2  10.4   6   2   4  11  11  10   9 | SP
VITVvi_vZin03_v1.1_P574.ver1.0.g463780.p01         -          LRR_4                PF12799.13   3.4e-28   96.1  80.2   7.7e-05   21.9   0.8  13.2   8   3   9  17  17  14  10 | SP+TM
VITVvi_vZin03_v1.1_H000074F_005.ver1.0.g111190.p01 -          LRR_4                PF12799.13   3.8e-28   95.9  30.5   4.9e-05   22.5   0.3   8.4   5   2   3   9   9   9   5 | TM
VITVvi_vZin03_v1.1_H000084F_006.ver1.0.g118410.p01 -          LRR_4                PF12799.13   5.9e-28   95.3  38.7     1e-06   27.9   1.9   6.7   7   0   0   7   7   6   6 | TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491620.p01          -          LRR_4                PF12799.13     6e-28   95.3  98.2    0.0001   21.5   1.8  15.6   9   3   9  18  18  15  11 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g253590.p01          -          LRR_4                PF12799.13   6.9e-28   95.1  66.9   9.7e-05   21.6   0.4  12.8  11   2   2  13  13  10   9 | SP+TM
VITVvi_vZin03_v1.1_P489.ver1.0.g438880.p01         -          LRR_4                PF12799.13     7e-28   95.1  70.6   2.1e-05   23.7   0.6  13.7   7   4  11  18  18  13   8 | SP+TM
VITVvi_vZin03_v1.1_H000087F_009.ver1.0.g121060.p01 -          LRR_4                PF12799.13   7.8e-28   94.9  40.3   7.7e-06   25.1   4.0   7.8   6   1   2   8   8   7   6 | SP
VITVvi_vZin03_v1.1_H000051F_004.ver1.0.g090330.p01 -          LRR_4                PF12799.13   8.2e-28   94.9  56.2   9.8e-05   21.5   0.5  10.1   5   3   8  13  13  12  10 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g343190.p01          -          LRR_4                PF12799.13   8.4e-28   94.8  56.9   9.9e-05   21.5   0.5  10.1   5   3   8  13  13  12  10 | SP+TM
VITVvi_vZin03_v1.1_P142.ver1.0.g259020.p01         -          LRR_4                PF12799.13   9.5e-28   94.7  66.0   0.00041   19.6   0.5  12.6   7   4   3  13  13  12   8 | SP+TM
VITVvi_vZin03_v1.1_P80.ver1.0.g503650.p01          -          LRR_4                PF12799.13   9.8e-28   94.6  68.8   3.9e-05   22.8   0.3  13.7   7   4  11  18  18  13   8 | SP+TM
VITVvi_vZin03_v1.1_P52.ver1.0.g450560.p01          -          LRR_4                PF12799.13     1e-27   94.5  66.0   0.00041   19.6   0.5  12.6   7   4   3  13  13  12   8 | SP+TM
VITVvi_vZin03_v1.1_P450.ver1.0.g429020.p01         -          LRR_4                PF12799.13     1e-27   94.5  73.2    0.0046   16.2   5.6  12.1   7   2   5  14  14  13  10 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456580.p01          -          LRR_4                PF12799.13   1.2e-27   94.3 120.5   3.7e-05   22.9   2.2  17.5   8   4  13  22  22  17  12 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364000.p01         -          LRR_4                PF12799.13   1.6e-27   94.0  48.8   7.1e-05   22.0   2.3  12.1  10   2   2  12  12   8   5 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162270.p01 -          LRR_4                PF12799.13     2e-27   93.6  72.9   2.3e-05   23.6   2.5  13.3  12   1   2  14  14  11   6 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411680.p01          -          LRR_4                PF12799.13   2.6e-27   93.3 110.4   1.6e-05   24.1   0.4  16.9   7   6  15  22  22  13   9 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053930.p01 -          LRR_4                PF12799.13   3.4e-27   92.9  75.4   8.8e-06   24.9   2.5  10.5   8   2   2  11  11  10   7 | TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250390.p01         -          LRR_4                PF12799.13   3.8e-27   92.8  89.7   2.9e-05   23.2   2.4  13.7   6   5  13  19  19  14  12 | TM
VITVvi_vZin03_v1.1_H000080F_012.ver1.0.g115650.p01 -          LRR_4                PF12799.13   4.7e-27   92.5  96.9   1.4e-05   24.2   1.1  14.5   6   4   5  15  15  10   8 | SP+TM
VITVvi_vZin03_v1.1_P304.ver1.0.g372350.p01         -          LRR_4                PF12799.13   5.4e-27   92.3  56.8   6.1e-07   28.5   0.1  12.1   9   2   3  13  13  10   8 | SP+TM
VITVvi_vZin03_v1.1_P19.ver1.0.g303210.p01          -          LRR_4                PF12799.13   6.5e-27   92.0  48.7   6.1e-05   22.2   3.9  10.6   8   2   2  11  11   9   6 | SP+TM
VITVvi_vZin03_v1.1_P152.ver1.0.g271120.p01         -          LRR_4                PF12799.13   1.1e-26   91.2  86.3   7.6e-06   25.1   1.0  12.2   3   3  14  17  17  14  12 | SP+TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g065010.p01 -          LRR_4                PF12799.13   1.3e-26   91.1  58.9     2e-05   23.7   0.4   9.0   5   1   3   9   9   9   9 | TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162260.p01 -          LRR_4                PF12799.13   1.7e-26   90.6  58.8   0.00034   19.8   1.4  13.6   8   4   7  16  16  13   7 | TM
VITVvi_vZin03_v1.1_P689.ver1.0.g486500.p01         -          LRR_4                PF12799.13   1.9e-26   90.5  34.5   3.4e-05   23.0   0.9   8.4   7   1   1   8   8   7   5 | TM
VITVvi_vZin03_v1.1_P87.ver1.0.g515420.p01          -          LRR_4                PF12799.13   2.6e-26   90.1  94.1   0.00012   21.2   2.9  13.5   6   4  10  16  16  14  11 | TM
