#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P22.ver1.0.g327520.p01          -          LRR_6                PF13516.12   6.1e-22   75.0  64.0      0.11   11.7   0.1  18.7  16   3   3  19  19  10   3 | SP
VITVvi_vZin03_v1.1_H000074F_005.ver1.0.g111190.p01 -          LRR_6                PF13516.12   4.9e-07   28.4  36.3      0.66    9.3   0.1  11.9  13   0   0  13  13   5   0 | TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411730.p01          -          LRR_6                PF13516.12   5.2e-07   28.3  37.5      0.35   10.1   0.5  10.5  10   0   0  10  10   5   2 | TM
VITVvi_vZin03_v1.1_P199.ver1.0.g308780.p01         -          LRR_6                PF13516.12   5.4e-07   28.3  55.4     0.046   12.9   0.1  13.6  15   0   0  15  15   6   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098140.p01 -          LRR_6                PF13516.12   5.6e-07   28.2   1.2     0.034   13.3   0.0   5.6   6   0   0   6   6   2   1 | SP
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176610.p01 -          LRR_6                PF13516.12   6.3e-07   28.0  16.9      0.93    8.8   0.0   6.8   7   0   0   7   7   4   0 | SP
VITVvi_vZin03_v1.1_P184.ver1.0.g299140.p01         -          LRR_6                PF13516.12   6.3e-07   28.0  16.9      0.93    8.8   0.0   6.8   7   0   0   7   7   4   0 | SP
VITVvi_vZin03_v1.1_P240.ver1.0.g338620.p01         -          LRR_6                PF13516.12   6.6e-07   28.0 103.6       1.5    8.1   0.2  26.4  30   0   0  30  30   7   0 | SP+TM
VITVvi_vZin03_v1.1_H000183F_001.ver1.0.g162680.p01 -          LRR_6                PF13516.12   6.8e-07   28.0  20.1      0.18   11.0   0.7   7.3   7   0   0   7   7   4   1 | SP+TM
VITVvi_vZin03_v1.1_P123.ver1.0.g239740.p01         -          LRR_6                PF13516.12   6.9e-07   27.9  22.6       1.1    8.6   0.0   6.6   6   0   0   6   6   5   0 | TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484540.p01         -          LRR_6                PF13516.12   6.9e-07   27.9  28.0     0.091   11.9   0.1   8.7  10   0   0  10  10   4   1 | TM
VITVvi_vZin03_v1.1_P266.ver1.0.g350340.p01         -          LRR_6                PF13516.12     7e-07   27.9  66.3     0.058   12.6   0.2  17.2  20   0   0  20  20   5   1 | SP+TM
VITVvi_vZin03_v1.1_P507.ver1.0.g448150.p01         -          LRR_6                PF13516.12   7.2e-07   27.9  65.4     0.058   12.6   0.2  17.2  20   0   0  20  20   4   1 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251740.p01         -          LRR_6                PF13516.12   8.7e-07   27.6 122.9      0.11   11.7   0.3  28.5  32   0   0  32  32   4   1 | SP+TM
VITVvi_vZin03_v1.1_P90.ver1.0.g527010.p01          -          LRR_6                PF13516.12   9.6e-07   27.5   1.3       2.5    7.4   0.1   6.0   6   0   0   6   6   3   0 | SP+TM
VITVvi_vZin03_v1.1_H000188F_003.ver1.0.g164510.p01 -          LRR_6                PF13516.12   1.4e-06   27.0  90.5      0.91    8.8   0.1  23.0  25   0   0  25  25   5   0 | TM
VITVvi_vZin03_v1.1_P26.ver1.0.g347440.p01          -          LRR_6                PF13516.12   1.5e-06   26.9  42.6      0.11   11.7   0.0  12.6  13   0   0  13  13   2   1 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403100.p01         -          LRR_6                PF13516.12   1.8e-06   26.6  42.2      0.82    9.0   0.0  12.6  14   0   0  14  14   4   0 | TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250090.p01         -          LRR_6                PF13516.12   1.9e-06   26.6  71.3      0.76    9.1   0.0  19.6  22   0   0  22  22   5   0 | SP+TM
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066670.p01 -          LRR_6                PF13516.12   2.1e-06   26.4  59.3      0.45    9.8   0.1  15.6  16   0   0  16  16   5   1 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200830.p01           -          LRR_6                PF13516.12   2.1e-06   26.4  75.9      0.17   11.1   0.5  18.8  20   1   1  21  21   4   2 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g346530.p01          -          LRR_6                PF13516.12   2.2e-06   26.4  27.5      0.13   11.4   0.2   8.2   9   0   0   9   9   2   2 | SP
VITVvi_vZin03_v1.1_P135.ver1.0.g250390.p01         -          LRR_6                PF13516.12   2.2e-06   26.3  63.2      0.93    8.8   0.1  15.9  18   0   0  18  18   8   0 | TM
VITVvi_vZin03_v1.1_P7.ver1.0.g488190.p01           -          LRR_6                PF13516.12   2.5e-06   26.2   9.8       1.8    7.9   0.5   6.5   7   0   0   7   7   2   0 | TM
VITVvi_vZin03_v1.1_P175.ver1.0.g291210.p01         -          LRR_6                PF13516.12   2.8e-06   26.0  56.1      0.34   10.2   0.1  14.4  17   0   0  17  17   6   1 | SP+TM
VITVvi_vZin03_v1.1_P339.ver1.0.g384120.p01         -          LRR_6                PF13516.12   2.8e-06   26.0  28.1     0.026   13.6   0.2   8.1   8   0   0   8   8   3   2 | SP
VITVvi_vZin03_v1.1_P19.ver1.0.g303860.p01          -          LRR_6                PF13516.12     3e-06   26.0  94.0      0.64    9.3   0.3  20.6  23   0   0  23  23   9   0 | TM
VITVvi_vZin03_v1.1_P151.ver1.0.g270660.p01         -          LRR_6                PF13516.12   3.5e-06   25.7  57.6       1.4    8.3   0.0  18.6  23   0   0  23  23   3   0 | SP+TM
VITVvi_vZin03_v1.1_H000186F_004.ver1.0.g163510.p01 -          LRR_6                PF13516.12   3.5e-06   25.7  65.3      0.04   13.1   0.1  16.0  18   0   0  18  18   6   2 | TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251800.p01         -          LRR_6                PF13516.12   3.6e-06   25.7 110.9       0.1   11.8   0.3  25.7  29   0   0  29  29   6   1 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341330.p01         -          LRR_6                PF13516.12   4.1e-06   25.5  16.9      0.29   10.3   0.4   6.2   6   0   0   6   6   3   1 | TM
VITVvi_vZin03_v1.1_P155.ver1.0.g273930.p01         -          LRR_6                PF13516.12   4.2e-06   25.5  23.9      0.18   11.0   0.7   7.6   8   0   0   8   8   4   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162460.p01 -          LRR_6                PF13516.12   4.7e-06   25.3  19.0      0.92    8.8   0.6   6.5   7   0   0   7   7   4   0 | SP
VITVvi_vZin03_v1.1_P124.ver1.0.g240540.p01         -          LRR_6                PF13516.12   4.8e-06   25.3  64.6     0.042   13.0   0.2  15.9  18   0   0  18  18   6   1 | TM
VITVvi_vZin03_v1.1_H000051F_004.ver1.0.g090330.p01 -          LRR_6                PF13516.12   4.9e-06   25.3  46.0      0.34   10.2   0.1  12.1  13   0   0  13  13   4   1 | SP+TM
VITVvi_vZin03_v1.1_P494.ver1.0.g441470.p01         -          LRR_6                PF13516.12     5e-06   25.3  38.8       1.6    8.1   0.8  10.4  12   0   0  12  12   5   0 | TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152810.p01 -          LRR_6                PF13516.12   5.5e-06   25.1  36.7       0.3   10.3   0.1  10.4  10   0   0  10  10   3   1 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g343190.p01          -          LRR_6                PF13516.12   5.7e-06   25.1  46.6      0.34   10.2   0.1  12.1  13   0   0  13  13   4   1 | SP+TM
VITVvi_vZin03_v1.1_P774.ver1.0.g498390.p01         -          LRR_6                PF13516.12     6e-06   25.0  12.1      0.53    9.6   0.0   5.4   5   0   0   5   5   2   1 | TM
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194380.p01 -          LRR_6                PF13516.12   6.4e-06   24.9  63.6     0.058   12.6   0.1  17.1  20   0   0  20  20   5   2 | TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342180.p01          -          LRR_6                PF13516.12   6.5e-06   24.9  60.9      0.87    8.9   0.1  18.3  21   0   0  21  21   4   0 | SP+TM
VITVvi_vZin03_v1.1_P128.ver1.0.g242160.p01         -          LRR_6                PF13516.12   6.6e-06   24.9  24.8      0.44    9.8   0.2   8.1   8   0   0   8   8   2   2 | SP
VITVvi_vZin03_v1.1_H000152F_005.ver1.0.g151320.p01 -          LRR_6                PF13516.12   6.6e-06   24.9  24.8      0.44    9.8   0.2   8.1   8   0   0   8   8   2   2 | SP
VITVvi_vZin03_v1.1_P240.ver1.0.g338610.p01         -          LRR_6                PF13516.12   6.6e-06   24.9  79.7      0.33   10.2   0.5  19.4  22   0   0  22  22   7   1 | TM
VITVvi_vZin03_v1.1_P44.ver1.0.g426390.p01          -          LRR_6                PF13516.12   6.9e-06   24.8   2.6     0.065   12.4   0.1   5.5   5   0   0   5   5   1   1 | SP+TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346060.p01         -          LRR_6                PF13516.12   7.6e-06   24.7  97.4      0.37   10.0   0.2  21.2  25   0   0  25  25   7   1 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364110.p01         -          LRR_6                PF13516.12   8.2e-06   24.6  29.6      0.18   11.0   0.2  10.7  11   0   0  11  11   2   1 | TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393060.p01         -          LRR_6                PF13516.12   8.2e-06   24.6  40.7      0.24   10.6   0.1   9.9  10   0   0  10  10   5   1 | TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497570.p01          -          LRR_6                PF13516.12   8.3e-06   24.6  55.0      0.58    9.4   0.3  12.0  12   0   0  12  12   6   1 | SP
VITVvi_vZin03_v1.1_P40.ver1.0.g411750.p01          -          LRR_6                PF13516.12   8.3e-06   24.6  67.5     0.031   13.4   0.0  15.2  18   0   0  18  18   6   2 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g253620.p01          -          LRR_6                PF13516.12   8.4e-06   24.5  11.0       1.1    8.5   0.0   5.9   5   0   0   5   5   3   0 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341500.p01         -          LRR_6                PF13516.12   8.5e-06   24.5  19.6      0.29   10.4   0.4   6.3   6   0   0   6   6   3   1 | TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240660.p01         -          LRR_6                PF13516.12   9.1e-06   24.4  82.1         1    8.7   0.2  20.8  24   0   0  24  24   5   0 | SP+TM
VITVvi_vZin03_v1.1_H000037F_013.ver1.0.g074710.p01 -          LRR_6                PF13516.12   9.8e-06   24.3  67.0      0.12   11.6   0.0  16.0  18   0   0  18  18   5   1 | SP+TM
VITVvi_vZin03_v1.1_H000084F_006.ver1.0.g118420.p01 -          LRR_6                PF13516.12     1e-05   24.3  81.5      0.09   12.0   0.0  19.3  23   0   0  23  23   7   2 | SP+TM
VITVvi_vZin03_v1.1_P714.ver1.0.g493080.p01         -          LRR_6                PF13516.12     1e-05   24.3  18.2      0.39   10.0   0.3   8.8   9   1   1  10  10   3   1 | SP
VITVvi_vZin03_v1.1_P301.ver1.0.g371810.p01         -          LRR_6                PF13516.12   1.1e-05   24.2  91.9      0.94    8.8   0.1  23.2  26   0   0  26  26   4   0 | SP+TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355750.p01         -          LRR_6                PF13516.12   1.1e-05   24.2  43.0      0.42    9.9   0.3  12.5  13   0   0  13  13   3   1 | TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354170.p01         -          LRR_6                PF13516.12   1.2e-05   24.1  97.1   0.00034   19.5   0.5  20.5  25   0   0  25  25   6   3 | SP+TM
VITVvi_vZin03_v1.1_H000125F_002.ver1.0.g138380.p01 -          LRR_6                PF13516.12   1.3e-05   24.0  16.4       2.7    7.3   0.0   8.7   9   0   0   9   9   2   0 | SP
VITVvi_vZin03_v1.1_P110.ver1.0.g224860.p01         -          LRR_6                PF13516.12   1.3e-05   24.0  16.4       2.7    7.3   0.0   8.7   9   0   0   9   9   2   0 | SP
VITVvi_vZin03_v1.1_P37.ver1.0.g394300.p01          -          LRR_6                PF13516.12   1.4e-05   23.8  67.1      0.29   10.4   0.0  16.1  18   0   0  18  18   5   1 | TM
VITVvi_vZin03_v1.1_P744.ver1.0.g496250.p01         -          LRR_6                PF13516.12   1.5e-05   23.7  12.9      0.11   11.7   0.3   5.1   5   0   0   5   5   3   1 | TM
VITVvi_vZin03_v1.1_P714.ver1.0.g493090.p01         -          LRR_6                PF13516.12   1.5e-05   23.7  12.9      0.11   11.7   0.3   5.1   5   0   0   5   5   3   1 | TM
VITVvi_vZin03_v1.1_H000001F_017.ver1.0.g003350.p01 -          LRR_6                PF13516.12   1.5e-05   23.7  15.1       1.4    8.2   0.0   7.7  10   0   0  10  10   3   0 | SP
VITVvi_vZin03_v1.1_P127.ver1.0.g241780.p01         -          LRR_6                PF13516.12   1.6e-05   23.7  52.9      0.61    9.4   0.4  14.4  15   0   0  15  15   3   1 | TM
VITVvi_vZin03_v1.1_P12.ver1.0.g234840.p01          -          LRR_6                PF13516.12   1.6e-05   23.7  12.1      0.29   10.4   0.0   6.4   7   0   0   7   7   2   1 | TM
VITVvi_vZin03_v1.1_P52.ver1.0.g450560.p01          -          LRR_6                PF13516.12   1.6e-05   23.7  45.1       1.3    8.3   0.0  12.6  13   0   0  13  13   4   0 | SP+TM
VITVvi_vZin03_v1.1_P518.ver1.0.g450220.p01         -          LRR_6                PF13516.12   1.6e-05   23.7  15.6      0.02   14.0   0.7   4.8   5   0   0   5   5   4   1 | TM
VITVvi_vZin03_v1.1_P142.ver1.0.g259020.p01         -          LRR_6                PF13516.12   1.6e-05   23.6  45.1       1.3    8.3   0.0  12.6  13   0   0  13  13   4   0 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341360.p01         -          LRR_6                PF13516.12   1.7e-05   23.6  75.9    0.0014   17.6   0.1  17.7  21   0   0  21  21   4   2 | SP+TM
VITVvi_vZin03_v1.1_P140.ver1.0.g257830.p01         -          LRR_6                PF13516.12   1.8e-05   23.5  87.8       2.7    7.3   0.1  22.6  27   0   0  27  27   4   0 | SP
VITVvi_vZin03_v1.1_H000397F_001.ver1.0.g191480.p01 -          LRR_6                PF13516.12   1.9e-05   23.5  33.5       3.4    7.0   0.0  10.6  11   0   0  11  11   5   0 | SP
VITVvi_vZin03_v1.1_H000146F_009.ver1.0.g148780.p01 -          LRR_6                PF13516.12   1.9e-05   23.5  19.9      0.44    9.8   0.0   6.9   7   0   0   7   7   3   1 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353670.p01         -          LRR_6                PF13516.12   1.9e-05   23.5  90.9       1.9    7.8   0.0  23.4  29   0   0  29  29   3   0 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g346540.p01          -          LRR_6                PF13516.12   2.1e-05   23.3  37.4     0.034   13.3   0.1  11.4  12   0   0  12  12   4   1 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251770.p01         -          LRR_6                PF13516.12   2.1e-05   23.3  17.2       1.8    7.9   0.1   6.4   6   0   0   6   6   4   0 | TM
VITVvi_vZin03_v1.1_H000092F_008.ver1.0.g123550.p01 -          LRR_6                PF13516.12   2.1e-05   23.3   0.3       5.7    6.3   0.1   5.5   5   0   0   5   5   1   0 | SP+TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152800.p01 -          LRR_6                PF13516.12   2.1e-05   23.3  23.3      0.25   10.6   0.0   7.3   8   0   0   8   8   4   1 | SP+TM
VITVvi_vZin03_v1.1_P31.ver1.0.g374080.p01          -          LRR_6                PF13516.12   2.4e-05   23.1  29.9     0.046   12.9   0.1  10.7  11   0   0  11  11   2   1 | SP+TM
VITVvi_vZin03_v1.1_P38.ver1.0.g398050.p01          -          LRR_6                PF13516.12   2.4e-05   23.1  27.1       2.1    7.7   0.0  10.7  13   0   0  13  13   4   0 | SP+TM
VITVvi_vZin03_v1.1_P38.ver1.0.g397860.p01          -          LRR_6                PF13516.12   2.5e-05   23.1   7.5      0.81    9.0   0.1   5.9   6   0   0   6   6   1   0 | SP
VITVvi_vZin03_v1.1_H000001F_021.ver1.0.g004440.p01 -          LRR_6                PF13516.12   2.5e-05   23.1  21.6       3.8    6.9   0.9   7.7   8   0   0   8   8   4   0 | SP+TM
VITVvi_vZin03_v1.1_P400.ver1.0.g412340.p01         -          LRR_6                PF13516.12   2.5e-05   23.0   9.7       1.7    8.0   0.0   6.7   6   0   0   6   6   2   0 | SP
VITVvi_vZin03_v1.1_P17.ver1.0.g287030.p01          -          LRR_6                PF13516.12   2.6e-05   23.0   0.2       2.2    7.6   0.0   4.9   4   0   0   4   4   2   0 | SP
VITVvi_vZin03_v1.1_H000016F_011.ver1.0.g047830.p01 -          LRR_6                PF13516.12   2.6e-05   23.0   0.2       2.2    7.6   0.0   4.9   4   0   0   4   4   2   0 | SP
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053930.p01 -          LRR_6                PF13516.12   2.7e-05   23.0  75.4      0.14   11.4   0.2  16.6  17   1   1  18  18   7   1 | TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338570.p01         -          LRR_6                PF13516.12   2.7e-05   22.9  57.2      0.73    9.1   0.3  15.4  17   0   0  17  17   6   0 | TM
VITVvi_vZin03_v1.1_P516.ver1.0.g449980.p01         -          LRR_6                PF13516.12   2.8e-05   22.9  19.9       1.1    8.6   0.2   8.4  10   0   0  10  10   3   0 | SP
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020140.p01 -          LRR_6                PF13516.12   2.8e-05   22.9  43.0      0.71    9.1   0.8  13.5  14   0   0  14  14   4   0 | SP+TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274500.p01         -          LRR_6                PF13516.12   2.9e-05   22.9   3.7      0.42    9.9   0.1   5.4   5   0   0   5   5   2   1 | SP+TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471210.p01           -          LRR_6                PF13516.12   2.9e-05   22.9  43.0      0.71    9.1   0.8  13.5  14   0   0  14  14   4   0 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162350.p01 -          LRR_6                PF13516.12   2.9e-05   22.9  59.7       5.1    6.5   0.0  18.4  21   0   0  21  21   5   0 | TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439310.p01          -          LRR_6                PF13516.12     3e-05   22.8   2.5     0.054   12.7   0.0   5.3   6   0   0   6   6   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000012F_008.ver1.0.g038420.p01 -          LRR_6                PF13516.12     3e-05   22.8  29.3      0.73    9.1   0.1   8.9   9   0   0   9   9   3   0 | SP
VITVvi_vZin03_v1.1_P24.ver1.0.g338310.p01          -          LRR_6                PF13516.12   3.5e-05   22.6  23.3      0.55    9.5   0.0   8.9  10   0   0  10  10   2   1 | SP
VITVvi_vZin03_v1.1_P61.ver1.0.g474780.p01          -          LRR_6                PF13516.12   3.6e-05   22.6  20.1       1.3    8.4   0.3   7.3   7   0   0   7   7   3   0 | TM
VITVvi_vZin03_v1.1_H000029F_011.ver1.0.g067750.p01 -          LRR_6                PF13516.12   3.6e-05   22.6  37.4     0.036   13.2   0.1  11.4  12   0   0  12  12   4   1 | SP+TM
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194280.p01 -          LRR_6                PF13516.12   3.6e-05   22.6   2.4       1.1    8.6   0.0   4.4   4   0   0   4   4   2   0 | TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463520.p01         -          LRR_6                PF13516.12   3.7e-05   22.5  90.4      0.11   11.6   0.0  19.5  23   0   0  23  23   7   2 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338720.p01         -          LRR_6                PF13516.12   4.3e-05   22.3  63.0      0.11   11.7   0.5  14.7  16   0   0  16  16   5   1 | SP
VITVvi_vZin03_v1.1_P71.ver1.0.g491640.p01          -          LRR_6                PF13516.12   4.4e-05   22.3  23.8      0.35   10.1   0.4   7.9   8   0   0   8   8   3   1 | TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098100.p01 -          LRR_6                PF13516.12   4.5e-05   22.3   1.8      0.06   12.5   0.0   5.2   6   0   0   6   6   1   1 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353560.p01         -          LRR_6                PF13516.12   4.7e-05   22.2  84.7       1.8    7.9   0.1  21.4  24   0   0  24  24   6   0 | TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274530.p01         -          LRR_6                PF13516.12   4.8e-05   22.2   4.3      0.34   10.1   0.1   5.2   5   0   0   5   5   2   1 | SP+TM
VITVvi_vZin03_v1.1_P165.ver1.0.g283850.p01         -          LRR_6                PF13516.12   4.9e-05   22.2   9.2       1.6    8.1   0.3   6.5   6   0   0   6   6   1   0 | SP+TM
VITVvi_vZin03_v1.1_P658.ver1.0.g481500.p01         -          LRR_6                PF13516.12   4.9e-05   22.1   1.5      0.67    9.2   0.0   4.4   4   0   0   4   4   2   0 | TM
VITVvi_vZin03_v1.1_P298.ver1.0.g363980.p01         -          LRR_6                PF13516.12   4.9e-05   22.1   6.4       0.4    9.9   0.0   4.8   4   0   0   4   4   2   1 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453660.p01          -          LRR_6                PF13516.12     5e-05   22.1   1.5      0.31   10.3   0.1   3.8   4   0   0   4   4   2   1 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353700.p01         -          LRR_6                PF13516.12     5e-05   22.1 100.1      0.59    9.4   0.0  23.6  28   0   0  28  28   6   1 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364010.p01         -          LRR_6                PF13516.12   5.1e-05   22.1  23.1      0.86    8.9   0.5   8.7   9   0   0   9   9   3   0 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456550.p01          -          LRR_6                PF13516.12   5.2e-05   22.1  66.8      0.29   10.3   0.1  17.3  22   0   0  22  22   6   1 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353660.p01         -          LRR_6                PF13516.12   5.6e-05   22.0  45.1       0.9    8.8   0.0  12.7  14   1   1  15  15   4   0 | SP+TM
VITVvi_vZin03_v1.1_P89.ver1.0.g519300.p01          -          LRR_6                PF13516.12   5.8e-05   21.9  51.5       1.8    7.9   0.3  14.3  16   0   0  16  16   4   0 | SP
VITVvi_vZin03_v1.1_P237.ver1.0.g336830.p01         -          LRR_6                PF13516.12   6.5e-05   21.8  10.2       2.3    7.6   0.0   4.3   4   0   0   4   4   4   0 | TM
VITVvi_vZin03_v1.1_P74.ver1.0.g495750.p01          -          LRR_6                PF13516.12   6.6e-05   21.7  28.1       3.6    7.0   0.5   8.6   9   0   0   9   9   4   0 | TM
VITVvi_vZin03_v1.1_P2.ver1.0.g311130.p01           -          LRR_6                PF13516.12   6.7e-05   21.7  62.2      0.33   10.2   0.6  14.5  16   0   0  16  16   6   1 | SP+TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g065010.p01 -          LRR_6                PF13516.12   6.7e-05   21.7  46.7      0.95    8.8   0.2  11.8  12   0   0  12  12   5   0 | TM
VITVvi_vZin03_v1.1_P199.ver1.0.g308810.p01         -          LRR_6                PF13516.12     8e-05   21.5  57.6         3    7.2   0.4  14.6  16   0   0  16  16   4   0 | TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053970.p01 -          LRR_6                PF13516.12   8.1e-05   21.5 117.5     0.094   11.9   0.2  25.6  29   0   0  29  29   8   2 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491650.p01          -          LRR_6                PF13516.12   8.3e-05   21.4  49.9      0.15   11.3   0.2  13.2  15   0   0  15  15   4   1 | SP
VITVvi_vZin03_v1.1_H000110F_013.ver1.0.g133630.p01 -          LRR_6                PF13516.12   8.3e-05   21.4  51.9       1.8    7.9   0.3  14.3  16   0   0  16  16   4   0 | SP
VITVvi_vZin03_v1.1_P124.ver1.0.g240680.p01         -          LRR_6                PF13516.12   8.5e-05   21.4  65.4       1.1    8.6   0.4  17.7  21   0   0  21  21   5   0 | TM
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194340.p01 -          LRR_6                PF13516.12   8.5e-05   21.4   1.0      0.93    8.8   0.0   3.5   3   0   0   3   3   2   0 | TM
VITVvi_vZin03_v1.1_H000397F_002.ver1.0.g191500.p01 -          LRR_6                PF13516.12   8.6e-05   21.4  27.0       1.3    8.4   0.0   8.7   9   0   0   9   9   4   0 | SP
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066700.p01 -          LRR_6                PF13516.12   8.7e-05   21.4  28.4     0.027   13.6   0.1   9.2   9   0   0   9   9   3   1 | TM
VITVvi_vZin03_v1.1_P405.ver1.0.g413080.p01         -          LRR_6                PF13516.12   9.7e-05   21.2  31.9      0.52    9.6   0.0   9.3  10   0   0  10  10   4   1 | TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393020.p01         -          LRR_6                PF13516.12    0.0001   21.2  28.7      0.18   11.0   0.1   8.9   8   0   0   8   8   3   1 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g453130.p01          -          LRR_6                PF13516.12    0.0001   21.2  37.1       0.4    9.9   0.1  10.2  10   0   0  10  10   3   1 | SP+TM
VITVvi_vZin03_v1.1_P199.ver1.0.g308710.p01         -          LRR_6                PF13516.12    0.0001   21.1  24.4     0.029   13.5   0.1   8.2   9   0   0   9   9   2   1 | SP
VITVvi_vZin03_v1.1_P302.ver1.0.g372040.p01         -          LRR_6                PF13516.12   0.00011   21.1   6.8      0.81    9.0   0.7   3.6   3   0   0   3   3   3   0 | TM
VITVvi_vZin03_v1.1_H000070F_007.ver1.0.g109950.p01 -          LRR_6                PF13516.12   0.00011   21.0  18.9       0.1   11.8   0.5   5.9   6   0   0   6   6   3   2 | SP+TM
VITVvi_vZin03_v1.1_P407.ver1.0.g413240.p01         -          LRR_6                PF13516.12   0.00012   21.0  91.4      0.06   12.5   0.5  20.3  22   0   0  22  22   6   1 | TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162270.p01 -          LRR_6                PF13516.12   0.00012   20.9  69.4      0.61    9.4   0.4  17.0  20   0   0  20  20   5   1 | SP+TM
VITVvi_vZin03_v1.1_P498.ver1.0.g441560.p01         -          LRR_6                PF13516.12   0.00012   20.9   2.3      0.24   10.6   0.1   4.3   4   0   0   4   4   2   1 | TM
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g114300.p01 -          LRR_6                PF13516.12   0.00012   20.9  84.0      0.23   10.7   0.4  19.6  22   0   0  22  22   7   1 | SP+TM
VITVvi_vZin03_v1.1_H000079F_010.ver1.0.g113650.p01 -          LRR_6                PF13516.12   0.00012   20.9  84.0      0.23   10.7   0.4  19.6  22   0   0  22  22   7   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162340.p01 -          LRR_6                PF13516.12   0.00012   20.9  56.2      0.58    9.4   0.0  15.2  18   0   0  18  18   3   1 | SP
VITVvi_vZin03_v1.1_P14.ver1.0.g255950.p01          -          LRR_6                PF13516.12   0.00013   20.9   4.7      0.46    9.7   0.1   3.7   3   0   0   3   3   2   1 | SP+TM
VITVvi_vZin03_v1.1_P152.ver1.0.g270980.p01         -          LRR_6                PF13516.12   0.00013   20.8  52.9     0.051   12.7   0.1  14.8  19   0   0  19  19   4   1 | TM
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040830.p01 -          LRR_6                PF13516.12   0.00013   20.8   4.7      0.46    9.7   0.1   3.6   3   0   0   3   3   2   1 | SP+TM
