#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_8                PF13855.12  7.5e-104  338.5 199.0     4e-09   35.1   5.0  26.2  18   8   7  26  26  25  21 | TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064950.p01 -          LRR_8                PF13855.12   4.2e-46  153.6 106.6   4.5e-08   31.8   3.0  13.7   5   2  10  16  16  14  14 | SP+TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289360.p01         -          LRR_8                PF13855.12     6e-46  153.1  78.4   9.3e-09   34.0   1.9  10.7   4   4   8  12  12  12  10 | TM
VITVvi_vZin03_v1.1_P658.ver1.0.g481470.p01         -          LRR_8                PF13855.12   8.3e-46  152.6  78.0   1.9e-07   29.8   4.1  10.1   7   3   3  10  10  10   9 | TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327620.p01          -          LRR_8                PF13855.12   9.1e-46  152.5  36.5   3.3e-12   45.0   1.3   7.9   5   3   2   7   7   7   7 | SP
VITVvi_vZin03_v1.1_P677.ver1.0.g484610.p01         -          LRR_8                PF13855.12   1.4e-45  151.9  74.9   7.3e-09   34.3   5.0  10.5   4   4   7  12  12  12  11 | TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215590.p01         -          LRR_8                PF13855.12   3.1e-45  150.8  88.7   8.1e-10   37.4   2.4  11.9   5   4   7  13  13  11  11 | TM
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155770.p01 -          LRR_8                PF13855.12   3.1e-45  150.8  56.8   8.6e-08   30.9   9.1  10.0   5   3   6  11  11  11  10 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456720.p01          -          LRR_8                PF13855.12   3.5e-45  150.6 113.8     5e-09   34.8   8.6  13.8   7   5   8  15  15  14  13 | SP+TM
VITVvi_vZin03_v1.1_P339.ver1.0.g384140.p01         -          LRR_8                PF13855.12   4.4e-45  150.3  77.8   2.2e-08   32.8   6.9  10.1   5   2   3  10  10   9   9 | TM
VITVvi_vZin03_v1.1_P307.ver1.0.g372960.p01         -          LRR_8                PF13855.12   5.3e-45  150.0  72.1   3.2e-06   25.8   1.2  10.6   6   2   6  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_P368.ver1.0.g393000.p01         -          LRR_8                PF13855.12   7.4e-45  149.6 110.9   5.7e-09   34.7   1.2  14.0   8   6   6  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P151.ver1.0.g270660.p01         -          LRR_8                PF13855.12   1.8e-44  148.3  70.9   3.1e-08   32.3   3.2  13.8   7   5   7  15  15  11  11 | SP+TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484580.p01         -          LRR_8                PF13855.12   2.2e-44  148.1  93.5   1.6e-07   30.0   1.6  13.7   5   4   7  15  15  12  11 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353570.p01         -          LRR_8                PF13855.12   2.6e-44  147.9  86.9   1.3e-08   33.5   7.3  13.1   8   6   3  12  12  11  10 | SP+TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250090.p01         -          LRR_8                PF13855.12   2.7e-44  147.8 123.1   1.5e-06   26.9   0.2  14.4   4   3  15  20  20  20  16 | SP+TM
VITVvi_vZin03_v1.1_H000029F_011.ver1.0.g067750.p01 -          LRR_8                PF13855.12   4.3e-44  147.1  69.2   6.5e-12   44.1   0.9   8.5   5   3   2   8   8   8   7 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411740.p01          -          LRR_8                PF13855.12   4.5e-44  147.1 111.0   5.7e-09   34.7   1.2  14.0   8   6   6  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P139.ver1.0.g252290.p01         -          LRR_8                PF13855.12   6.5e-44  146.6  84.7   6.1e-09   34.6   4.6  12.8   7   3   6  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P312.ver1.0.g376040.p01         -          LRR_8                PF13855.12   8.8e-44  146.1 129.5   9.4e-07   27.6   5.1  14.1   8   2   7  16  16  13  13 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162260.p01 -          LRR_8                PF13855.12   9.5e-44  146.0  60.1   2.6e-08   32.6   3.9  12.5   6   4   9  15  15  12  12 | TM
VITVvi_vZin03_v1.1_P7.ver1.0.g490490.p01           -          LRR_8                PF13855.12   9.7e-44  146.0  66.9   5.9e-09   34.6   2.7  10.2   5   4   6  12  12  10  10 | SP
VITVvi_vZin03_v1.1_H000412F_001.ver1.0.g192250.p01 -          LRR_8                PF13855.12     1e-43  145.9 129.9   9.2e-07   27.6   5.1  14.0   8   2   5  15  15  12  12 | SP+TM
VITVvi_vZin03_v1.1_H001436F_001.ver1.0.g200220.p01 -          LRR_8                PF13855.12   1.3e-43  145.6 106.9   1.3e-08   33.5   5.8  14.5   8   5   9  17  17  15  14 | SP
VITVvi_vZin03_v1.1_H000481F_001.ver1.0.g194610.p01 -          LRR_8                PF13855.12   1.3e-43  145.6 106.3   1.9e-06   26.6  12.4  11.3   6   4   7  13  13  13  13 | TM
VITVvi_vZin03_v1.1_P37.ver1.0.g394300.p01          -          LRR_8                PF13855.12   1.7e-43  145.2  58.4     4e-10   38.3   1.6   9.0   8   1   1   9   9   8   8 | TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162400.p01 -          LRR_8                PF13855.12   1.8e-43  145.2  64.2   1.8e-07   29.9   5.3  13.5   7   3  10  17  17  14  13 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463500.p01         -          LRR_8                PF13855.12   1.9e-43  145.1 117.1   2.1e-08   32.8   8.6  13.5   8   3   3  14  14  12  11 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162350.p01 -          LRR_8                PF13855.12     2e-43  145.0  76.3   2.4e-06   26.3   1.6  13.9   9   3   5  15  15  12  12 | TM
VITVvi_vZin03_v1.1_H000128F_003.ver1.0.g140000.p01 -          LRR_8                PF13855.12   2.6e-43  144.6  79.0   3.8e-08   32.0   0.9  10.7   8   2   2  10  10  10   9 | SP+TM
VITVvi_vZin03_v1.1_P106.ver1.0.g216340.p01         -          LRR_8                PF13855.12   2.6e-43  144.6  79.0   3.8e-08   32.0   0.9  10.7   8   2   2  10  10  10   9 | SP+TM
VITVvi_vZin03_v1.1_P574.ver1.0.g463780.p01         -          LRR_8                PF13855.12   2.7e-43  144.6  72.7     1e-06   27.4   6.1  10.6   5   2   7  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463470.p01         -          LRR_8                PF13855.12   2.7e-43  144.6  93.2   3.8e-09   35.2   7.4  13.5   5   4   7  14  14  14  13 | SP+TM
VITVvi_vZin03_v1.1_H000237F_004.ver1.0.g177750.p01 -          LRR_8                PF13855.12   3.5e-43  144.2  74.2   1.9e-08   33.0   0.8  10.3   5   4   7  12  12  10   7 | TM
VITVvi_vZin03_v1.1_H000146F_005.ver1.0.g148610.p01 -          LRR_8                PF13855.12   3.6e-43  144.2  69.0   1.4e-09   36.6   1.7  11.2   5   2   5  11  11  10  10 | TM
VITVvi_vZin03_v1.1_H000037F_013.ver1.0.g074710.p01 -          LRR_8                PF13855.12   4.1e-43  144.0  58.9   4.2e-10   38.3   1.6   9.0   8   1   1   9   9   8   8 | SP+TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233890.p01          -          LRR_8                PF13855.12   4.1e-43  144.0  67.7   2.2e-08   32.8   3.1   8.9   7   1   0   8   8   8   8 | SP+TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355820.p01         -          LRR_8                PF13855.12   4.6e-43  143.8 121.4     2e-08   32.9   3.4  12.2   3   2   9  13  13  13  12 | SP+TM
VITVvi_vZin03_v1.1_H000006F_006.ver1.0.g024690.p01 -          LRR_8                PF13855.12   4.7e-43  143.8  65.0   6.6e-09   34.5   2.8  10.2   5   4   6  12  12  10   9 | SP
VITVvi_vZin03_v1.1_P80.ver1.0.g503590.p01          -          LRR_8                PF13855.12   4.9e-43  143.7  75.8   1.9e-08   33.0   0.8  10.4   5   4   7  12  12  11   8 | TM
VITVvi_vZin03_v1.1_P157.ver1.0.g276070.p01         -          LRR_8                PF13855.12   5.7e-43  143.5  72.9   6.9e-07   28.0   2.8  11.7   7   4   4  12  12  11  10 | SP+TM
VITVvi_vZin03_v1.1_H000079F_010.ver1.0.g113650.p01 -          LRR_8                PF13855.12   7.3e-43  143.2  96.0   1.1e-08   33.7   6.1  12.0   5   3   9  14  14  12  11 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g347440.p01          -          LRR_8                PF13855.12   1.8e-42  142.0  84.3   6.9e-11   40.8   5.0  10.2   5   2   7  13  13  11  10 | SP+TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237090.p01         -          LRR_8                PF13855.12   1.8e-42  142.0 112.8   4.9e-11   41.3   1.8  11.3   7   4   2  10  10  10   9 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354240.p01         -          LRR_8                PF13855.12   1.8e-42  141.9  58.2   3.3e-08   32.2   4.1   8.9   8   1   1   9   9   8   8 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354180.p01         -          LRR_8                PF13855.12   2.1e-42  141.7  55.0   3.9e-08   32.0   3.0   8.9   8   1   1   9   9   8   7 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338570.p01         -          LRR_8                PF13855.12   2.4e-42  141.5  66.9   4.3e-10   38.2   8.1   9.5   4   4   4   9   9   9   9 | TM
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g114300.p01 -          LRR_8                PF13855.12   2.6e-42  141.4  97.2   1.1e-08   33.7   6.1  12.0   5   3   7  13  13  11  10 | SP+TM
VITVvi_vZin03_v1.1_H000080F_012.ver1.0.g115650.p01 -          LRR_8                PF13855.12   3.8e-42  140.9  95.1   2.4e-07   29.5   0.1  13.1   6   3   3  12  12  11   8 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162490.p01 -          LRR_8                PF13855.12   3.9e-42  140.9  71.2   5.1e-05   22.0   0.7  14.7  10   4   4  15  15  10   8 | SP+TM
VITVvi_vZin03_v1.1_P15.ver1.0.g265280.p01          -          LRR_8                PF13855.12   4.1e-42  140.8  83.6   1.6e-08   33.2   7.9  10.7   4   1   9  14  14  13  11 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491620.p01          -          LRR_8                PF13855.12   5.3e-42  140.4  96.2   3.1e-08   32.3   5.3  13.6   7   4   4  12  12  11   9 | SP+TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250390.p01         -          LRR_8                PF13855.12   5.8e-42  140.3  89.9   3.1e-09   35.5   6.0  11.2   7   5   3  10  10   9   9 | TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364440.p01           -          LRR_8                PF13855.12   6.6e-42  140.2  54.1   2.4e-09   35.8   0.0   8.0   3   2   5   9   9   9   9 | TM
VITVvi_vZin03_v1.1_P114.ver1.0.g228770.p01         -          LRR_8                PF13855.12   7.9e-42  139.9 107.3   3.2e-11   41.8   1.2  12.5   3   1  13  17  17  16  16 | SP
VITVvi_vZin03_v1.1_H000286F_002.ver1.0.g184330.p01 -          LRR_8                PF13855.12   1.3e-41  139.2  69.7   3.4e-08   32.2   3.3  11.0   8   2   2  11  11   9   8 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491690.p01          -          LRR_8                PF13855.12   1.7e-41  138.8  91.1   4.7e-07   28.5   6.0  14.0   7   5  10  17  17  16  13 | SP+TM
VITVvi_vZin03_v1.1_P15.ver1.0.g265470.p01          -          LRR_8                PF13855.12   1.7e-41  138.8  83.5   7.7e-09   34.2   7.2  10.6   3   1   8  13  13  13  12 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053930.p01 -          LRR_8                PF13855.12   2.4e-41  138.4  65.6   4.4e-07   28.6   2.7  10.1   7   2   4  11  11  10  10 | TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463520.p01         -          LRR_8                PF13855.12   2.7e-41  138.2 110.3   1.6e-07   30.0   6.9  14.0  11   3   3  15  15  12   9 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g311130.p01           -          LRR_8                PF13855.12   2.9e-41  138.1  62.8   1.1e-07   30.6   6.6  10.3   6   3   2  10  10   8   8 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411680.p01          -          LRR_8                PF13855.12   3.5e-41  137.8 110.2   2.5e-08   32.6   4.0  13.2  10   4   3  14  14  11   8 | SP+TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497510.p01          -          LRR_8                PF13855.12   3.6e-41  137.8 117.2   6.4e-09   34.5   7.3   6.6   2   1   7   9   9   9   9 | SP
VITVvi_vZin03_v1.1_P184.ver1.0.g298920.p01         -          LRR_8                PF13855.12   4.6e-41  137.4  37.4   1.7e-09   36.3   5.8   8.3   5   2   6  11  11  10   9 | SP+TM
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066670.p01 -          LRR_8                PF13855.12   4.7e-41  137.4  84.2     6e-09   34.6   1.5  10.3   5   3   5  12  12  11  10 | SP+TM
VITVvi_vZin03_v1.1_H000089F_008.ver1.0.g121660.p01 -          LRR_8                PF13855.12   4.9e-41  137.4 109.0   7.9e-10   37.4   8.6   7.8   3   1   7  10  10   9   9 | SP
VITVvi_vZin03_v1.1_P224.ver1.0.g329700.p01         -          LRR_8                PF13855.12   5.1e-41  137.3  69.1   3.4e-08   32.2   3.3  11.4   7   2   6  13  13  10   9 | SP+TM
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176400.p01 -          LRR_8                PF13855.12   5.2e-41  137.3  36.9   1.5e-09   36.5   5.6   8.3   5   2   6  11  11  10   9 | SP+TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426490.p01         -          LRR_8                PF13855.12   5.4e-41  137.2  73.0   5.2e-10   38.0   3.8   9.9   4   3   6  12  12  11  10 | TM
VITVvi_vZin03_v1.1_H000006F_023.ver1.0.g026650.p01 -          LRR_8                PF13855.12   1.1e-40  136.3  53.5   9.2e-11   40.4   0.7   8.7   7   2   2   9   9   7   7 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g456650.p01          -          LRR_8                PF13855.12   1.3e-40  136.0 106.9   3.2e-08   32.2   7.2  14.4   7   5   9  17  17  14  12 | TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463540.p01         -          LRR_8                PF13855.12   2.2e-40  135.3 106.6     4e-07   28.7   0.4  14.5   7   5   8  16  16  14  13 | SP+TM
VITVvi_vZin03_v1.1_P85.ver1.0.g510490.p01          -          LRR_8                PF13855.12   2.8e-40  134.9  68.8   3.4e-08   32.2   6.4   9.6   5   3   6  11  11  11  11 | SP
VITVvi_vZin03_v1.1_H000043F_008.ver1.0.g080940.p01 -          LRR_8                PF13855.12   2.9e-40  134.9  39.4     2e-08   32.9   5.7   8.0   8   0   0   8   8   7   7 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410000.p01          -          LRR_8                PF13855.12   4.4e-40  134.3  40.6     2e-08   32.9   5.7   7.9   8   0   0   8   8   7   7 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456560.p01          -          LRR_8                PF13855.12   4.7e-40  134.2  94.0   2.6e-09   35.8   6.8  13.2   5   4  10  16  16  15  14 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162270.p01 -          LRR_8                PF13855.12   8.8e-40  133.3  81.7     7e-09   34.4  10.9  11.2   9   2   2  11  11  10   9 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251680.p01         -          LRR_8                PF13855.12   9.1e-40  133.3  96.1   1.2e-07   30.4   1.4  11.3   6   3   4  11  11  10   9 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g456550.p01          -          LRR_8                PF13855.12   1.2e-39  132.9  79.7   2.4e-08   32.7   1.9  13.7   5   4   4  13  13  10   9 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456580.p01          -          LRR_8                PF13855.12   1.7e-39  132.4 120.0   1.7e-08   33.1   7.7  13.4   6   4   5  15  15  13  10 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g347400.p01          -          LRR_8                PF13855.12     2e-39  132.2  67.2     8e-09   34.2   9.5   9.1   3   2   3   9   9   8   7 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240680.p01         -          LRR_8                PF13855.12   2.8e-39  131.7  93.0   3.7e-09   35.2   3.8  14.2   9   4   7  16  16  13  12 | TM
VITVvi_vZin03_v1.1_P365.ver1.0.g392630.p01         -          LRR_8                PF13855.12   3.5e-39  131.4  71.3   7.8e-09   34.2   9.4   9.2   2   1   9  12  12  11  10 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g346540.p01          -          LRR_8                PF13855.12   4.6e-39  131.0  67.0   6.1e-12   44.2   0.9   8.5   5   3   2   8   8   8   6 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162360.p01 -          LRR_8                PF13855.12     5e-39  130.9  64.6   4.1e-06   25.5   1.9  13.5  11   3   2  13  13  10   8 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456570.p01          -          LRR_8                PF13855.12   5.2e-39  130.9 109.1   1.1e-08   33.7   7.9  14.3   7   4  11  18  18  16  13 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241780.p01         -          LRR_8                PF13855.12   5.6e-39  130.8  64.5   1.2e-09   36.8   4.1   9.2   5   3   3   9   9   8   6 | TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162250.p01 -          LRR_8                PF13855.12   5.7e-39  130.7  85.4   7.3e-09   34.3   8.8  12.1   8   3   3  12  12  10   9 | SP+TM
VITVvi_vZin03_v1.1_P151.ver1.0.g270760.p01         -          LRR_8                PF13855.12   6.2e-39  130.6  76.4   7.1e-06   24.7   0.4  13.2  10   4   3  14  14  11   9 | SP
VITVvi_vZin03_v1.1_P71.ver1.0.g491600.p01          -          LRR_8                PF13855.12   1.5e-38  129.4  75.7   2.1e-08   32.8   3.1  11.4   5   2   9  14  14  12  10 | SP
VITVvi_vZin03_v1.1_P40.ver1.0.g411780.p01          -          LRR_8                PF13855.12   1.5e-38  129.4 109.7   7.5e-08   31.1   5.7  14.9   7   5   9  18  18  16  13 | SP+TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355830.p01         -          LRR_8                PF13855.12   2.2e-38  128.9  92.9     9e-08   30.8   3.5  10.9   2   2   9  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118320.p01 -          LRR_8                PF13855.12   2.3e-38  128.8  35.4   3.1e-10   38.7   4.3   6.1   3   2   3   6   6   6   6 | SP
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064960.p01 -          LRR_8                PF13855.12   2.4e-38  128.7  93.8   1.7e-08   33.2   0.7  12.4   4   2   8  14  14  12  11 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342190.p01          -          LRR_8                PF13855.12   2.4e-38  128.7  93.8   1.7e-08   33.2   0.7  12.4   4   2   8  14  14  12  11 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456620.p01          -          LRR_8                PF13855.12   2.5e-38  128.7 108.7   4.3e-09   35.1   8.4  13.9   6   5   9  17  17  15  13 | SP+TM
VITVvi_vZin03_v1.1_H000568F_002.ver1.0.g196580.p01 -          LRR_8                PF13855.12   2.6e-38  128.6  63.7   2.4e-09   35.8   2.0   9.6   4   3   6  10  10  10  10 | SP+TM
VITVvi_vZin03_v1.1_P1.ver1.0.g200810.p01           -          LRR_8                PF13855.12     3e-38  128.4  35.5   3.2e-10   38.6   4.3   6.2   3   2   3   6   6   6   6 | SP
VITVvi_vZin03_v1.1_P344.ver1.0.g386140.p01         -          LRR_8                PF13855.12   3.9e-38  128.1  63.7   2.4e-09   35.8   2.0   9.6   4   3   6  10  10  10   9 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341380.p01         -          LRR_8                PF13855.12   3.9e-38  128.1  82.2   2.9e-09   35.6   3.8  12.1   6   3   9  15  15  14  12 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354110.p01         -          LRR_8                PF13855.12   4.6e-38  127.8  58.5   1.9e-08   33.0   4.0   8.9   8   2   2  10  10   8   8 | SP+TM
VITVvi_vZin03_v1.1_P80.ver1.0.g503650.p01          -          LRR_8                PF13855.12   6.9e-38  127.3  73.1   1.4e-06   27.0   1.7  11.8   4   4   8  13  13  12  11 | SP+TM
VITVvi_vZin03_v1.1_P489.ver1.0.g438880.p01         -          LRR_8                PF13855.12   7.2e-38  127.2  74.5   1.4e-06   27.0   1.7  11.7   4   4   8  13  13  12  11 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g515420.p01          -          LRR_8                PF13855.12   8.5e-38  127.0 101.7   7.1e-07   27.9   3.8  10.8   5   4   7  12  12  12  12 | TM
VITVvi_vZin03_v1.1_H000074F_005.ver1.0.g111190.p01 -          LRR_8                PF13855.12   9.4e-38  126.8  39.2   9.4e-10   37.2   0.9   7.9   5   2   2   7   7   7   6 | TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497570.p01          -          LRR_8                PF13855.12   1.2e-37  126.5  51.8   2.2e-09   36.0   8.9   6.1   5   1   0   6   6   6   6 | SP
VITVvi_vZin03_v1.1_P67.ver1.0.g483450.p01          -          LRR_8                PF13855.12   2.3e-37  125.6  72.8   4.3e-08   31.9   4.6   9.8   3   2   7  10  10  10  10 | SP
VITVvi_vZin03_v1.1_P371.ver1.0.g395020.p01         -          LRR_8                PF13855.12     3e-37  125.2  93.3   1.4e-09   36.6   6.8  10.6   3   3   9  12  12  12  12 | SP
VITVvi_vZin03_v1.1_P273.ver1.0.g354220.p01         -          LRR_8                PF13855.12   4.2e-37  124.7  85.1   3.5e-08   32.1   5.8  12.7   7   5   7  14  14  13   8 | SP
VITVvi_vZin03_v1.1_H000029F_011.ver1.0.g067740.p01 -          LRR_8                PF13855.12   5.3e-37  124.4  64.1   1.7e-12   46.0   1.1   7.6   3   2   4   8   8   8   7 | SP
VITVvi_vZin03_v1.1_P312.ver1.0.g376060.p01         -          LRR_8                PF13855.12   5.4e-37  124.4  64.5   2.2e-06   26.4   0.0  10.1   5   4   6  12  12  11  10 | SP+TM
VITVvi_vZin03_v1.1_H000064F_013.ver1.0.g106080.p01 -          LRR_8                PF13855.12   6.3e-37  124.2  59.0   1.8e-08   33.0   1.9   9.8   5   3   4  10  10   9   8 | SP+TM
VITVvi_vZin03_v1.1_P56.ver1.0.g461560.p01          -          LRR_8                PF13855.12   7.6e-37  123.9  58.2   2.1e-07   29.7   7.1  10.0   7   1   5  12  12  10   9 | SP+TM
VITVvi_vZin03_v1.1_P38.ver1.0.g398050.p01          -          LRR_8                PF13855.12   9.6e-37  123.6  43.1   4.1e-07   28.7   0.7   9.1   8   1   0   8   8   7   7 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403100.p01         -          LRR_8                PF13855.12   9.8e-37  123.6  59.6   6.5e-07   28.1   8.9   9.0   4   4   6  10  10   9   9 | TM
VITVvi_vZin03_v1.1_H000087F_005.ver1.0.g120530.p01 -          LRR_8                PF13855.12   1.5e-36  123.0  47.7   7.1e-09   34.3   5.3  10.7   5   3   7  12  12  11   7 | SP+TM
VITVvi_vZin03_v1.1_P83.ver1.0.g509080.p01          -          LRR_8                PF13855.12   1.5e-36  123.0  47.7   7.1e-09   34.3   5.3  10.7   5   3   7  12  12  11   7 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162320.p01 -          LRR_8                PF13855.12   1.5e-36  123.0  65.2   4.1e-05   22.3   0.7  12.5   7   2   7  15  15  13  11 | TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491670.p01          -          LRR_8                PF13855.12   1.7e-36  122.8  53.5   1.7e-08   33.2   3.4   8.7   6   2   1   8   8   8   8 | SP+TM
VITVvi_vZin03_v1.1_P450.ver1.0.g429020.p01         -          LRR_8                PF13855.12   2.5e-36  122.3  71.1   1.1e-08   33.7   4.0   9.3   4   2   5  10  10  10  10 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338720.p01         -          LRR_8                PF13855.12   3.1e-36  122.0  70.4   5.3e-08   31.5   4.4  10.5   5   3   5  11  11   9   9 | SP
VITVvi_vZin03_v1.1_P440.ver1.0.g426510.p01         -          LRR_8                PF13855.12   3.8e-36  121.7  64.9   1.5e-07   30.1   0.5   9.3   4   2   8  12  12  11  10 | SP
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020140.p01 -          LRR_8                PF13855.12   4.5e-36  121.4  61.7   1.2e-07   30.4   1.6   9.7   3   2   8  12  12  12  11 | SP+TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471210.p01           -          LRR_8                PF13855.12   4.6e-36  121.4  61.7   1.2e-07   30.4   1.6   9.7   3   2   8  12  12  12  11 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162450.p01 -          LRR_8                PF13855.12   6.1e-36  121.0  42.7     3e-06   26.0   0.6  10.6   6   1   2  10  10   8   8 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353780.p01         -          LRR_8                PF13855.12     1e-35  120.4  70.7   9.6e-09   33.9   2.5  10.0   5   4   2   9   9   8   8 | TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152850.p01 -          LRR_8                PF13855.12   1.1e-35  120.3  54.7   4.9e-10   38.1   2.3   6.9   5   2   1   6   6   6   5 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341360.p01         -          LRR_8                PF13855.12   1.3e-35  120.0  96.8   8.1e-08   31.0   3.0  13.6   6   4   7  15  15  14  10 | SP+TM
VITVvi_vZin03_v1.1_H000087F_009.ver1.0.g121060.p01 -          LRR_8                PF13855.12   3.7e-35  118.5  42.5   4.3e-10   38.2   2.9   7.5   4   1   4   8   8   8   7 | SP
VITVvi_vZin03_v1.1_P255.ver1.0.g345450.p01         -          LRR_8                PF13855.12   4.7e-35  118.2  72.8   1.7e-08   33.2   2.8   5.8   1   1   7   9   9   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000080F_006.ver1.0.g115470.p01 -          LRR_8                PF13855.12   7.6e-35  117.5  81.3   1.2e-08   33.6   6.7   9.1   7   2   2   9   9   8   7 | SP+TM
VITVvi_vZin03_v1.1_P67.ver1.0.g483510.p01          -          LRR_8                PF13855.12   7.6e-35  117.5  81.3   1.2e-08   33.6   6.7   9.1   7   2   2   9   9   8   7 | SP+TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484510.p01         -          LRR_8                PF13855.12   7.8e-35  117.5  64.9   5.5e-07   28.3   3.8  10.6   5   2   7  13  13  11  11 | TM
VITVvi_vZin03_v1.1_H000067F_008.ver1.0.g107850.p01 -          LRR_8                PF13855.12   7.9e-35  117.5  63.8   1.4e-08   33.4   2.8   9.0   4   2   4   9   9   8   8 | SP+TM
VITVvi_vZin03_v1.1_P31.ver1.0.g374080.p01          -          LRR_8                PF13855.12   1.5e-34  116.6  32.3   3.9e-10   38.4   5.1   7.3   2   1   4   8   8   8   8 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364000.p01         -          LRR_8                PF13855.12   1.8e-34  116.3  56.3   7.6e-07   27.8   7.4  10.0   6   2   4  11  11   8   7 | SP+TM
