#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g379290.t01      -          LRRNT_2              PF08263.17   3.6e-49  164.4  18.5   4.9e-13   48.8   0.6   5.2   5   0   0   5   5   4   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124480.t02 -          LRRNT_2              PF08263.17   1.2e-12   47.6   0.4   2.9e-12   46.3   0.4   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515630.t01      -          LRRNT_2              PF08263.17   1.2e-12   47.6   0.5   4.3e-12   45.8   0.5   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510320.t01      -          LRRNT_2              PF08263.17   1.2e-12   47.5   0.1   4.8e-12   45.6   0.1   2.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570350.t01      -          LRRNT_2              PF08263.17   1.3e-12   47.5   0.1   5.2e-12   45.5   0.1   2.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200930.t01 -          LRRNT_2              PF08263.17   1.4e-12   47.4   1.6   2.2e-12   46.7   0.1   2.2   2   0   0   2   2   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583080.t01      -          LRRNT_2              PF08263.17   1.4e-12   47.4   0.1   4.8e-12   45.6   0.1   2.1   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_021.ver1.0.g001010.t02 -          LRRNT_2              PF08263.17   1.4e-12   47.3  11.7   1.8e-06   27.8   2.7   2.8   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000079F.ver1.0.g460560.t01      -          LRRNT_2              PF08263.17   1.5e-12   47.3   1.0   1.5e-12   47.3   1.0   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000079F.ver1.0.g460560.t03      -          LRRNT_2              PF08263.17   1.5e-12   47.3   1.0   1.5e-12   47.3   1.0   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000028F.ver1.0.g386150.t02      -          LRRNT_2              PF08263.17   1.5e-12   47.3   0.4   3.8e-12   45.9   0.4   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g381130.t01      -          LRRNT_2              PF08263.17   1.5e-12   47.3   0.2   3.2e-12   46.2   0.2   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124480.t01 -          LRRNT_2              PF08263.17   1.5e-12   47.3   0.4   3.8e-12   45.9   0.4   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000027F_004.ver1.0.g120280.t01 -          LRRNT_2              PF08263.17   1.5e-12   47.2   0.2   3.2e-12   46.2   0.2   1.6   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000005F.ver1.0.g302190.t01      -          LRRNT_2              PF08263.17   1.6e-12   47.2   2.3   3.8e-12   46.0   1.3   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515100.t02      -          LRRNT_2              PF08263.17   1.6e-12   47.1   0.3   4.9e-12   45.6   0.3   1.9   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059920.t01 -          LRRNT_2              PF08263.17   1.7e-12   47.1   2.3   4.6e-12   45.7   1.3   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515100.t01      -          LRRNT_2              PF08263.17   1.9e-12   46.9   0.3     6e-12   45.3   0.3   2.0   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000019F_052.ver1.0.g101830.t02 -          LRRNT_2              PF08263.17     2e-12   46.9   2.6   2.3e-12   46.6   0.6   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000019F.ver1.0.g353510.t02      -          LRRNT_2              PF08263.17     2e-12   46.9   2.6   2.3e-12   46.6   0.6   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_021.ver1.0.g001010.t01 -          LRRNT_2              PF08263.17   2.1e-12   46.8  11.7   2.2e-06   27.5   2.7   2.9   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101970.t01 -          LRRNT_2              PF08263.17   2.2e-12   46.7   2.3   9.8e-12   44.6   2.3   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000180F.ver1.0.g553150.t01      -          LRRNT_2              PF08263.17   2.2e-12   46.7   0.3   5.4e-12   45.4   0.3   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000080F_010.ver1.0.g184760.t01 -          LRRNT_2              PF08263.17   2.2e-12   46.7   1.3   2.2e-12   46.7   1.3   1.8   2   0   0   2   2   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000177F.ver1.0.g551880.t01      -          LRRNT_2              PF08263.17   2.3e-12   46.7   0.5   2.3e-12   46.7   0.5   2.5   3   0   0   3   3   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g341650.t01      -          LRRNT_2              PF08263.17   2.3e-12   46.6   1.1   2.3e-12   46.6   1.1   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g341650.t02      -          LRRNT_2              PF08263.17   2.3e-12   46.6   1.1   2.3e-12   46.6   1.1   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534410.t01      -          LRRNT_2              PF08263.17   2.4e-12   46.6   0.5   2.4e-12   46.6   0.5   2.5   3   0   0   3   3   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515210.t02      -          LRRNT_2              PF08263.17   2.4e-12   46.6   0.2   2.4e-12   46.6   0.2   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000079F_014.ver1.0.g183450.t01 -          LRRNT_2              PF08263.17   2.5e-12   46.5   0.9   6.2e-12   45.3   0.9   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547430.t01      -          LRRNT_2              PF08263.17   2.6e-12   46.5   0.2     7e-12   45.1   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000079F_014.ver1.0.g183450.t02 -          LRRNT_2              PF08263.17   2.6e-12   46.5   0.9   4.7e-12   45.7   0.9   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547740.t01      -          LRRNT_2              PF08263.17   2.6e-12   46.4   0.2     7e-12   45.1   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g265510.t01      -          LRRNT_2              PF08263.17   2.8e-12   46.4   1.0   2.8e-12   46.4   1.0   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g265510.t02      -          LRRNT_2              PF08263.17   2.8e-12   46.4   1.0   2.8e-12   46.4   1.0   2.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_025.ver1.0.g002730.t01 -          LRRNT_2              PF08263.17   2.8e-12   46.4   1.0   2.8e-12   46.4   1.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000000F_025.ver1.0.g002730.t02 -          LRRNT_2              PF08263.17   2.8e-12   46.4   1.0   2.8e-12   46.4   1.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547570.t01      -          LRRNT_2              PF08263.17   2.8e-12   46.4   1.3   7.6e-12   45.0   1.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515210.t01      -          LRRNT_2              PF08263.17     3e-12   46.3   0.2     3e-12   46.3   0.2   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547860.t01      -          LRRNT_2              PF08263.17   3.1e-12   46.2   1.3   7.9e-12   44.9   1.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g102170.t01 -          LRRNT_2              PF08263.17   3.1e-12   46.2   2.2   1.4e-11   44.1   2.2   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547750.t01      -          LRRNT_2              PF08263.17   3.2e-12   46.2   0.8   1.2e-11   44.4   0.8   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000130F.ver1.0.g521070.t01      -          LRRNT_2              PF08263.17   3.2e-12   46.2   0.3   9.7e-12   44.6   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200960.t01 -          LRRNT_2              PF08263.17   3.3e-12   46.1   0.2     1e-11   44.6   0.2   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483770.t01      -          LRRNT_2              PF08263.17   3.4e-12   46.1   1.3     1e-11   44.6   1.3   1.9   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g102010.t01 -          LRRNT_2              PF08263.17   3.8e-12   45.9   1.9   1.4e-11   44.2   1.9   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200890.t01 -          LRRNT_2              PF08263.17   3.9e-12   45.9   0.1   9.9e-12   44.6   0.1   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000019F_031.ver1.0.g101000.t01 -          LRRNT_2              PF08263.17   4.1e-12   45.8   2.5   4.6e-12   45.7   0.6   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059880.t01 -          LRRNT_2              PF08263.17   4.2e-12   45.8   0.1   1.5e-11   44.0   0.1   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534980.t01      -          LRRNT_2              PF08263.17   4.3e-12   45.8   0.2   1.6e-11   44.0   0.2   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200830.t01 -          LRRNT_2              PF08263.17   4.3e-12   45.8   0.2   1.3e-11   44.2   0.2   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416060.t01      -          LRRNT_2              PF08263.17   4.5e-12   45.7   2.5   1.3e-11   44.3   2.5   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583010.t01      -          LRRNT_2              PF08263.17   4.5e-12   45.7   0.1   4.5e-12   45.7   0.1   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000005F.ver1.0.g301520.t01      -          LRRNT_2              PF08263.17   4.9e-12   45.6   0.2   1.2e-11   44.4   0.2   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483590.t01      -          LRRNT_2              PF08263.17   4.9e-12   45.6   1.9   1.9e-11   43.7   1.9   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198490.t01 -          LRRNT_2              PF08263.17   4.9e-12   45.6   1.9   1.9e-11   43.7   1.9   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g102040.t01 -          LRRNT_2              PF08263.17   5.1e-12   45.5   1.7   1.6e-11   44.0   1.7   1.9   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000015F.ver1.0.g341640.t01      -          LRRNT_2              PF08263.17   5.3e-12   45.5   2.9   5.3e-12   45.5   2.9   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000079F.ver1.0.g460600.t01      -          LRRNT_2              PF08263.17   5.3e-12   45.5   2.9   5.3e-12   45.5   2.9   1.9   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570280.t01      -          LRRNT_2              PF08263.17   5.3e-12   45.5   0.1     2e-11   43.7   0.1   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416060.t02      -          LRRNT_2              PF08263.17   5.4e-12   45.5   2.5   1.5e-11   44.0   2.5   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059220.t01 -          LRRNT_2              PF08263.17   5.5e-12   45.4   1.4   1.9e-11   43.7   0.2   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583050.t01      -          LRRNT_2              PF08263.17   5.6e-12   45.4   0.1   2.1e-11   43.6   0.1   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000133F.ver1.0.g522520.t01      -          LRRNT_2              PF08263.17     6e-12   45.3   0.7   1.9e-11   43.7   0.7   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000067F_012.ver1.0.g178830.t01 -          LRRNT_2              PF08263.17   6.1e-12   45.3   4.9   7.7e-10   38.6   1.4   3.0   3   0   0   3   3   2   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000130F_007.ver1.0.g224180.t01 -          LRRNT_2              PF08263.17   6.2e-12   45.3   0.3   1.7e-11   43.9   0.3   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355740.t01      -          LRRNT_2              PF08263.17   7.7e-12   45.0   0.5   3.3e-11   42.9   0.5   2.2   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000004F_037.ver1.0.g044700.t01 -          LRRNT_2              PF08263.17   8.2e-12   44.9   2.9   8.2e-12   44.9   2.9   2.3   2   0   0   2   2   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000004F_076.ver1.0.g050470.t01 -          LRRNT_2              PF08263.17   8.2e-12   44.9   2.9   8.2e-12   44.9   2.9   2.3   2   0   0   2   2   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059220.t02 -          LRRNT_2              PF08263.17   8.3e-12   44.9   1.4   1.2e-11   44.3   0.2   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000152F_009.ver1.0.g232040.t01 -          LRRNT_2              PF08263.17   8.3e-12   44.9   2.9   1.9e-11   43.7   2.9   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000152F_009.ver1.0.g232040.t02 -          LRRNT_2              PF08263.17   8.3e-12   44.9   2.9   1.9e-11   43.7   2.9   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000152F.ver1.0.g535740.t01      -          LRRNT_2              PF08263.17   8.4e-12   44.8   2.9   1.9e-11   43.7   2.9   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000041F.ver1.0.g413580.t01      -          LRRNT_2              PF08263.17   8.8e-12   44.8   0.5   2.6e-11   43.3   0.5   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000136F.ver1.0.g524290.t01      -          LRRNT_2              PF08263.17   8.9e-12   44.8   0.2   2.9e-11   43.1   0.2   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547530.t01      -          LRRNT_2              PF08263.17   9.1e-12   44.7   1.3   9.1e-12   44.7   1.3   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547690.t01      -          LRRNT_2              PF08263.17   9.1e-12   44.7   1.3   9.1e-12   44.7   1.3   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355980.t01      -          LRRNT_2              PF08263.17   9.4e-12   44.7   1.7   3.5e-11   42.9   1.7   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000219F.ver1.0.g570920.t01      -          LRRNT_2              PF08263.17   9.6e-12   44.7   1.2   2.8e-11   43.2   0.3   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515200.t01      -          LRRNT_2              PF08263.17   1.1e-11   44.5   0.1   3.6e-11   42.8   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000284F.ver1.0.g587260.t01      -          LRRNT_2              PF08263.17   1.1e-11   44.5   0.8   3.3e-11   43.0   0.8   1.9   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000084F_001.ver1.0.g188110.t02 -          LRRNT_2              PF08263.17   1.1e-11   44.5   0.5   1.1e-11   44.5   0.5   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000084F.ver1.0.g468390.t01      -          LRRNT_2              PF08263.17   1.2e-11   44.4   0.5   1.2e-11   44.4   0.5   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000084F_001.ver1.0.g188110.t01 -          LRRNT_2              PF08263.17   1.2e-11   44.3   0.5   1.2e-11   44.3   0.5   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000219F_001.ver1.0.g243140.t01 -          LRRNT_2              PF08263.17   1.2e-11   44.3   0.7   4.8e-11   42.4   0.2   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000136F.ver1.0.g524290.t02      -          LRRNT_2              PF08263.17   1.3e-11   44.3   0.2     4e-11   42.7   0.2   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427430.t01      -          LRRNT_2              PF08263.17   1.3e-11   44.2   1.3   5.7e-11   42.2   1.3   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080400.t01 -          LRRNT_2              PF08263.17   1.3e-11   44.2   0.1   4.4e-11   42.5   0.1   2.0   1   0   0   1   1   1   1 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219810.t01 -          LRRNT_2              PF08263.17   1.4e-11   44.2   0.1   3.2e-11   43.0   0.1   1.7   1   0   0   1   1   1   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101920.t01 -          LRRNT_2              PF08263.17   1.4e-11   44.1   0.9   5.7e-11   42.2   0.9   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570420.t01      -          LRRNT_2              PF08263.17   1.4e-11   44.1   3.1   1.6e-11   43.9   0.1   2.8   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000052F_017.ver1.0.g161620.t01 -          LRRNT_2              PF08263.17   1.6e-11   43.9   0.3     6e-11   42.1   0.1   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000007F_034.ver1.0.g065830.t01 -          LRRNT_2              PF08263.17   1.6e-11   43.9   2.1   1.6e-11   43.9   2.1   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198440.t01 -          LRRNT_2              PF08263.17   1.7e-11   43.8   0.3   5.6e-11   42.2   0.3   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000018F.ver1.0.g351410.t02      -          LRRNT_2              PF08263.17   1.8e-11   43.8   0.9   3.8e-11   42.7   0.9   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000018F_038.ver1.0.g099770.t02 -          LRRNT_2              PF08263.17   1.8e-11   43.8   0.9   3.8e-11   42.7   0.9   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000503F.ver1.0.g614780.t02      -          LRRNT_2              PF08263.17   1.9e-11   43.7   1.1   4.9e-11   42.4   1.1   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512020.t04      -          LRRNT_2              PF08263.17   1.9e-11   43.7   1.1   4.9e-11   42.4   1.1   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000041F.ver1.0.g411810.t01      -          LRRNT_2              PF08263.17     2e-11   43.7   0.1   2.8e-10   40.0   0.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000041F_013.ver1.0.g146100.t01 -          LRRNT_2              PF08263.17     2e-11   43.7   0.1   2.8e-10   40.0   0.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427710.t01      -          LRRNT_2              PF08263.17     2e-11   43.6   2.6   2.3e-11   43.5   0.2   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000018F.ver1.0.g351410.t01      -          LRRNT_2              PF08263.17     2e-11   43.6   0.9   4.3e-11   42.6   0.9   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000018F_038.ver1.0.g099770.t01 -          LRRNT_2              PF08263.17     2e-11   43.6   0.9   4.3e-11   42.6   0.9   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000302F.ver1.0.g590910.t01      -          LRRNT_2              PF08263.17   2.4e-11   43.4   0.1   8.7e-11   41.6   0.1   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000316F.ver1.0.g593480.t01      -          LRRNT_2              PF08263.17   2.5e-11   43.3   0.2   2.5e-11   43.3   0.2   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124570.t03 -          LRRNT_2              PF08263.17   2.5e-11   43.3   0.1   5.8e-11   42.1   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_003.ver1.0.g247480.t01 -          LRRNT_2              PF08263.17   2.5e-11   43.3   0.2   2.5e-11   43.3   0.2   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_006.ver1.0.g247540.t01 -          LRRNT_2              PF08263.17   2.5e-11   43.3   0.2   2.5e-11   43.3   0.2   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428570.t01      -          LRRNT_2              PF08263.17   2.6e-11   43.3   0.5     8e-11   41.7   0.1   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_039.ver1.0.g105480.t01 -          LRRNT_2              PF08263.17   2.6e-11   43.3   3.6   2.6e-11   43.3   3.6   2.0   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000025F.ver1.0.g373870.t01      -          LRRNT_2              PF08263.17   2.7e-11   43.2   1.3   2.7e-11   43.2   1.3   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000078F.ver1.0.g459710.t01      -          LRRNT_2              PF08263.17   2.7e-11   43.2   1.3   2.7e-11   43.2   1.3   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219690.t01 -          LRRNT_2              PF08263.17   2.8e-11   43.2   0.9   8.9e-11   41.6   0.0   2.5   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000503F.ver1.0.g614780.t04      -          LRRNT_2              PF08263.17   2.9e-11   43.1   1.1   6.6e-11   42.0   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512020.t03      -          LRRNT_2              PF08263.17   2.9e-11   43.1   1.1   6.6e-11   42.0   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000020F.ver1.0.g355840.t01      -          LRRNT_2              PF08263.17     3e-11   43.1   1.7     3e-11   43.1   1.7   2.4   2   0   0   2   2   1   1 | SP
VITVvi_vCabSauv08_v1.1_Primary000007F.ver1.0.g312760.t01      -          LRRNT_2              PF08263.17     3e-11   43.1   2.3     3e-11   43.1   2.3   2.1   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000503F.ver1.0.g614780.t03      -          LRRNT_2              PF08263.17   3.2e-11   43.0   1.1   7.3e-11   41.8   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000123F.ver1.0.g512020.t01      -          LRRNT_2              PF08263.17   3.2e-11   43.0   1.1   7.3e-11   41.8   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000008F_018.ver1.0.g069810.t01 -          LRRNT_2              PF08263.17   3.2e-11   43.0   7.6   3.2e-11   43.0   7.6   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000008F.ver1.0.g313300.t01      -          LRRNT_2              PF08263.17   3.2e-11   43.0   7.6   3.2e-11   43.0   7.6   2.2   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000165F.ver1.0.g544760.t03      -          LRRNT_2              PF08263.17   3.3e-11   43.0   0.3   3.3e-11   43.0   0.3   2.3   2   0   0   2   2   1   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000165F.ver1.0.g544760.t05      -          LRRNT_2              PF08263.17   3.3e-11   43.0   0.3   3.3e-11   43.0   0.3   2.3   2   0   0   2   2   1   1 | SP+TM
