#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P14.ver1.0.g255970.p01          -          Pkinase              PF00069.31  3.9e-135  444.9   0.0   5.2e-45  149.5   0.0   3.3   3   0   0   3   3   3   3 | SP+TM
VITVvi_vZin03_v1.1_P714.ver1.0.g493090.p01         -          Pkinase              PF00069.31   4.2e-46  153.1   0.0   5.8e-46  152.6   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256090.p01          -          Pkinase              PF00069.31   4.6e-46  152.9   0.0   6.8e-46  152.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225320.p01         -          Pkinase              PF00069.31   4.6e-46  152.9   0.0   6.5e-46  152.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364510.p01           -          Pkinase              PF00069.31   4.7e-46  152.9   0.0     7e-46  152.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P50.ver1.0.g446860.p01          -          Pkinase              PF00069.31   4.8e-46  152.9   0.0   6.9e-46  152.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000013F_003.ver1.0.g040990.p01 -          Pkinase              PF00069.31   4.8e-46  152.9   0.0   9.1e-46  152.0   0.0   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P658.ver1.0.g481470.p01         -          Pkinase              PF00069.31   4.8e-46  152.9   0.0   6.9e-46  152.4   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040830.p01 -          Pkinase              PF00069.31   5.5e-46  152.7   0.0   8.7e-46  152.0   0.0   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P744.ver1.0.g496250.p01         -          Pkinase              PF00069.31   5.6e-46  152.6   0.0   7.8e-46  152.2   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225380.p01         -          Pkinase              PF00069.31   7.2e-46  152.3   0.0   9.7e-46  151.9   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P44.ver1.0.g426380.p01          -          Pkinase              PF00069.31   7.3e-46  152.3   0.0   1.1e-45  151.6   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364420.p01           -          Pkinase              PF00069.31   8.2e-46  152.1   0.0   1.1e-45  151.7   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364440.p01           -          Pkinase              PF00069.31   8.8e-46  152.0   0.0   1.2e-45  151.5   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274420.p01         -          Pkinase              PF00069.31   9.3e-46  151.9   0.0   1.5e-45  151.2   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152800.p01 -          Pkinase              PF00069.31     1e-45  151.8   0.0   1.4e-45  151.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P201.ver1.0.g317190.p01         -          Pkinase              PF00069.31     1e-45  151.8   0.0   1.5e-45  151.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P468.ver1.0.g433880.p01         -          Pkinase              PF00069.31   1.1e-45  151.7   0.0   1.9e-45  150.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000004F_005.ver1.0.g016950.p01 -          Pkinase              PF00069.31   1.1e-45  151.7   0.1   1.5e-45  151.2   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g492640.p01          -          Pkinase              PF00069.31   1.2e-45  151.6   0.0   1.9e-45  150.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225350.p01         -          Pkinase              PF00069.31   1.4e-45  151.4   0.0   1.9e-45  150.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357680.p01          -          Pkinase              PF00069.31   1.4e-45  151.4   0.1   2.2e-45  150.7   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P50.ver1.0.g446870.p01          -          Pkinase              PF00069.31   1.4e-45  151.3   0.0     2e-45  150.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000060F_006.ver1.0.g101610.p01 -          Pkinase              PF00069.31   1.4e-45  151.3   0.0     2e-45  150.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000155F_004.ver1.0.g153220.p01 -          Pkinase              PF00069.31   1.4e-45  151.3   0.0   2.2e-45  150.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P27.ver1.0.g351500.p01          -          Pkinase              PF00069.31   1.4e-45  151.3   0.0   2.2e-45  150.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000192F_007.ver1.0.g165250.p01 -          Pkinase              PF00069.31   1.5e-45  151.3   0.0   2.1e-45  150.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P165.ver1.0.g283860.p01         -          Pkinase              PF00069.31   1.6e-45  151.2   0.0   2.2e-45  150.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P44.ver1.0.g426280.p01          -          Pkinase              PF00069.31   1.9e-45  150.9   0.0   2.9e-45  150.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152850.p01 -          Pkinase              PF00069.31     2e-45  150.9   0.0   2.8e-45  150.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255950.p01          -          Pkinase              PF00069.31     2e-45  150.8   0.0   3.8e-45  149.9   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000060F_006.ver1.0.g101600.p01 -          Pkinase              PF00069.31     2e-45  150.8   0.0   2.9e-45  150.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P54.ver1.0.g457670.p01          -          Pkinase              PF00069.31   2.5e-45  150.5   0.0   3.4e-45  150.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P184.ver1.0.g298920.p01         -          Pkinase              PF00069.31   2.6e-45  150.5   0.0   3.5e-45  150.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176400.p01 -          Pkinase              PF00069.31   2.6e-45  150.5   0.0   3.5e-45  150.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255980.p01          -          Pkinase              PF00069.31   2.9e-45  150.3   0.1     6e-45  149.3   0.0   1.6   2   0   0   2   2   1   1 | TM
VITVvi_vZin03_v1.1_H000091F_004.ver1.0.g121840.p01 -          Pkinase              PF00069.31     3e-45  150.3   0.0   7.3e-45  149.0   0.0   1.6   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P80.ver1.0.g505240.p01          -          Pkinase              PF00069.31     3e-45  150.3   0.0   7.3e-45  149.0   0.0   1.6   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453130.p01          -          Pkinase              PF00069.31   3.1e-45  150.2   0.0   4.5e-45  149.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225360.p01         -          Pkinase              PF00069.31     4e-45  149.8   0.0     6e-45  149.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P148.ver1.0.g264120.p01         -          Pkinase              PF00069.31   4.6e-45  149.7   0.0   7.2e-45  149.0   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000064F_013.ver1.0.g106080.p01 -          Pkinase              PF00069.31   5.3e-45  149.5   0.0   7.2e-45  149.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000029F_011.ver1.0.g067750.p01 -          Pkinase              PF00069.31     6e-45  149.3   0.0   8.4e-45  148.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066700.p01 -          Pkinase              PF00069.31     6e-45  149.3   0.0   8.3e-45  148.8   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P68.ver1.0.g484900.p01          -          Pkinase              PF00069.31   6.5e-45  149.2   0.0   8.4e-45  148.8   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000232F_006.ver1.0.g175810.p01 -          Pkinase              PF00069.31   7.5e-45  149.0   0.0   1.2e-44  148.3   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P188.ver1.0.g302390.p01         -          Pkinase              PF00069.31   7.5e-45  149.0   0.0   1.2e-44  148.3   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P152.ver1.0.g270960.p01         -          Pkinase              PF00069.31     8e-45  148.9   0.0   1.1e-44  148.4   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000298F_005.ver1.0.g186210.p01 -          Pkinase              PF00069.31   9.2e-45  148.7   0.0   1.2e-44  148.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000008F_010.ver1.0.g029140.p01 -          Pkinase              PF00069.31   9.7e-45  148.6   0.0   1.5e-44  148.0   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P312.ver1.0.g376040.p01         -          Pkinase              PF00069.31   9.9e-45  148.6   0.0   1.5e-44  148.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233190.p01          -          Pkinase              PF00069.31     1e-44  148.5   0.0   1.4e-44  148.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P107.ver1.0.g216980.p01         -          Pkinase              PF00069.31   1.1e-44  148.4   0.0   1.7e-44  147.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P108.ver1.0.g218440.p01         -          Pkinase              PF00069.31   1.1e-44  148.4   0.0   1.7e-44  147.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495380.p01          -          Pkinase              PF00069.31   1.2e-44  148.3   0.0   1.8e-44  147.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410000.p01          -          Pkinase              PF00069.31   1.3e-44  148.2   0.0   1.8e-44  147.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000043F_008.ver1.0.g080940.p01 -          Pkinase              PF00069.31   1.3e-44  148.2   0.0   1.8e-44  147.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453150.p01          -          Pkinase              PF00069.31   1.5e-44  148.0   0.0   2.2e-44  147.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P444.ver1.0.g426740.p01         -          Pkinase              PF00069.31   1.5e-44  148.0   0.0   2.9e-44  147.0   0.0   1.4   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066660.p01 -          Pkinase              PF00069.31   1.6e-44  147.9   0.0   2.4e-44  147.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274500.p01         -          Pkinase              PF00069.31   1.7e-44  147.8   0.0   2.6e-44  147.2   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000039F_008.ver1.0.g075100.p01 -          Pkinase              PF00069.31   1.8e-44  147.7   0.0   2.8e-44  147.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P9.ver1.0.g521000.p01           -          Pkinase              PF00069.31   2.5e-44  147.3   0.0   3.8e-44  146.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000033F_008.ver1.0.g070000.p01 -          Pkinase              PF00069.31   2.5e-44  147.2   0.0   4.1e-44  146.6   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355790.p01         -          Pkinase              PF00069.31   2.5e-44  147.2   0.0   3.9e-44  146.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P37.ver1.0.g394300.p01          -          Pkinase              PF00069.31   2.6e-44  147.2   0.0   3.9e-44  146.6   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000037F_013.ver1.0.g074710.p01 -          Pkinase              PF00069.31   2.8e-44  147.1   0.0   4.2e-44  146.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256150.p01          -          Pkinase              PF00069.31   2.9e-44  147.0   0.0   4.1e-44  146.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g356210.p01          -          Pkinase              PF00069.31   2.9e-44  147.0   0.0   4.4e-44  146.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426500.p01         -          Pkinase              PF00069.31     3e-44  147.0   0.1   4.5e-44  146.4   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P113.ver1.0.g227580.p01         -          Pkinase              PF00069.31   3.1e-44  146.9   0.0   4.2e-44  146.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274530.p01         -          Pkinase              PF00069.31   3.1e-44  146.9   0.0   4.6e-44  146.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P51.ver1.0.g449180.p01          -          Pkinase              PF00069.31     4e-44  146.6   0.0   6.5e-44  145.9   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000128F_003.ver1.0.g140000.p01 -          Pkinase              PF00069.31   4.5e-44  146.4   0.0   6.3e-44  145.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P106.ver1.0.g216340.p01         -          Pkinase              PF00069.31   4.5e-44  146.4   0.0   6.3e-44  145.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P64.ver1.0.g479370.p01          -          Pkinase              PF00069.31   4.9e-44  146.3   0.0   7.7e-44  145.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342250.p01          -          Pkinase              PF00069.31     5e-44  146.3   0.0   7.5e-44  145.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194280.p01 -          Pkinase              PF00069.31   6.1e-44  146.0   0.0   8.5e-44  145.5   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g253620.p01          -          Pkinase              PF00069.31   6.9e-44  145.8   0.0   9.6e-44  145.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403160.p01         -          Pkinase              PF00069.31   8.7e-44  145.5   0.1   1.3e-43  144.9   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g065030.p01 -          Pkinase              PF00069.31   8.7e-44  145.5   0.0   1.3e-43  144.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000043F_003.ver1.0.g079770.p01 -          Pkinase              PF00069.31   9.4e-44  145.4   0.0   1.3e-43  144.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P645.ver1.0.g480630.p01         -          Pkinase              PF00069.31   1.3e-43  144.9   0.0   1.7e-43  144.6   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000067F_008.ver1.0.g107850.p01 -          Pkinase              PF00069.31   1.4e-43  144.8   0.0     2e-43  144.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410640.p01          -          Pkinase              PF00069.31   1.4e-43  144.8   0.0     2e-43  144.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000183F_001.ver1.0.g162760.p01 -          Pkinase              PF00069.31   1.5e-43  144.7   0.0   2.1e-43  144.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000120F_006.ver1.0.g136650.p01 -          Pkinase              PF00069.31   1.6e-43  144.6   0.0   2.2e-43  144.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P155.ver1.0.g273990.p01         -          Pkinase              PF00069.31   1.6e-43  144.6   0.0   2.2e-43  144.2   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P304.ver1.0.g372350.p01         -          Pkinase              PF00069.31   1.7e-43  144.5   0.0   2.2e-43  144.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P645.ver1.0.g480640.p01         -          Pkinase              PF00069.31   2.4e-43  144.0   0.0   3.1e-43  143.7   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P110.ver1.0.g223860.p01         -          Pkinase              PF00069.31   2.6e-43  143.9   0.0     4e-43  143.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P365.ver1.0.g392630.p01         -          Pkinase              PF00069.31   2.7e-43  143.8   0.0   4.1e-43  143.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P26.ver1.0.g347400.p01          -          Pkinase              PF00069.31   2.8e-43  143.8   0.0   4.2e-43  143.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000412F_001.ver1.0.g192250.p01 -          Pkinase              PF00069.31   3.1e-43  143.7   0.0   4.6e-43  143.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P77.ver1.0.g498080.p01          -          Pkinase              PF00069.31   3.5e-43  143.5   0.0   4.8e-43  143.0   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P146.ver1.0.g262330.p01         -          Pkinase              PF00069.31   5.7e-43  142.8   0.0   7.9e-43  142.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P125.ver1.0.g241040.p01         -          Pkinase              PF00069.31   6.5e-43  142.6   0.0     1e-42  142.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403150.p01         -          Pkinase              PF00069.31   7.1e-43  142.5   0.0   1.1e-42  141.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225410.p01         -          Pkinase              PF00069.31   7.5e-43  142.4   0.0   1.1e-42  141.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P194.ver1.0.g307500.p01         -          Pkinase              PF00069.31   8.6e-43  142.2   0.0   1.2e-42  141.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P407.ver1.0.g413230.p01         -          Pkinase              PF00069.31   9.6e-43  142.1   0.2   1.4e-42  141.5   0.2   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P157.ver1.0.g276780.p01         -          Pkinase              PF00069.31   1.1e-42  141.9   0.0   1.5e-42  141.4   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000122F_003.ver1.0.g137770.p01 -          Pkinase              PF00069.31   1.3e-42  141.6   0.0     2e-42  141.0   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000572F_001.ver1.0.g196630.p01 -          Pkinase              PF00069.31   1.4e-42  141.5   0.0   2.3e-42  140.8   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P58.ver1.0.g464900.p01          -          Pkinase              PF00069.31   1.5e-42  141.4   0.0   2.2e-42  140.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000051F_004.ver1.0.g090330.p01 -          Pkinase              PF00069.31   1.6e-42  141.4   0.0   2.2e-42  140.9   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g343190.p01          -          Pkinase              PF00069.31   1.6e-42  141.4   0.0   2.2e-42  140.9   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020140.p01 -          Pkinase              PF00069.31   1.9e-42  141.1   0.0   2.6e-42  140.6   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471210.p01           -          Pkinase              PF00069.31   1.9e-42  141.1   0.0   2.6e-42  140.6   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152830.p01 -          Pkinase              PF00069.31     3e-42  140.4   0.0   4.2e-42  140.0   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P224.ver1.0.g329700.p01         -          Pkinase              PF00069.31   3.3e-42  140.3   0.0   4.7e-42  139.8   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000286F_002.ver1.0.g184330.p01 -          Pkinase              PF00069.31   3.3e-42  140.3   0.0   4.7e-42  139.8   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P128.ver1.0.g241870.p01         -          Pkinase              PF00069.31   3.4e-42  140.2   0.0   5.5e-42  139.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064940.p01 -          Pkinase              PF00069.31   3.7e-42  140.1   0.0   5.5e-42  139.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342170.p01          -          Pkinase              PF00069.31   3.7e-42  140.1   0.0   5.5e-42  139.6   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000214F_005.ver1.0.g172290.p01 -          Pkinase              PF00069.31   4.3e-42  139.9   0.0   6.2e-42  139.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426480.p01         -          Pkinase              PF00069.31   4.4e-42  139.9   0.0   6.5e-42  139.3   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020790.p01 -          Pkinase              PF00069.31   7.2e-42  139.2   0.0     1e-41  138.7   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076970.p01 -          Pkinase              PF00069.31   7.5e-42  139.1   0.0   1.1e-41  138.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P15.ver1.0.g265470.p01          -          Pkinase              PF00069.31   9.9e-42  138.7   0.0   1.5e-41  138.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390570.p01          -          Pkinase              PF00069.31   1.1e-41  138.6   0.0   1.7e-41  137.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471960.p01           -          Pkinase              PF00069.31   1.2e-41  138.5   0.0   1.7e-41  138.0   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000158F_001.ver1.0.g154420.p01 -          Pkinase              PF00069.31   3.3e-41  137.0   0.0   4.8e-41  136.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241650.p01         -          Pkinase              PF00069.31   3.3e-41  137.0   0.0   4.8e-41  136.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P361.ver1.0.g391890.p01         -          Pkinase              PF00069.31   5.3e-41  136.3   0.0   8.1e-41  135.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439480.p01          -          Pkinase              PF00069.31   5.5e-41  136.3   0.0   4.3e-27   90.7   0.0   2.5   2   1   1   3   3   2   2 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342180.p01          -          Pkinase              PF00069.31   6.6e-41  136.0   0.0   1.1e-40  135.3   0.0   1.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364070.p01         -          Pkinase              PF00069.31   7.1e-41  135.9   0.2   5.1e-36  120.0   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P307.ver1.0.g372960.p01         -          Pkinase              PF00069.31   7.2e-41  135.9   0.0   1.1e-40  135.4   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P574.ver1.0.g463780.p01         -          Pkinase              PF00069.31   7.3e-41  135.9   0.0   1.1e-40  135.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P135.ver1.0.g250090.p01         -          Pkinase              PF00069.31   7.6e-41  135.8   0.0   1.1e-40  135.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000164F_003.ver1.0.g155800.p01 -          Pkinase              PF00069.31   7.6e-41  135.8   0.0   1.1e-40  135.3   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P80.ver1.0.g503590.p01          -          Pkinase              PF00069.31   1.1e-40  135.4   0.0   1.5e-40  134.9   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000237F_004.ver1.0.g177750.p01 -          Pkinase              PF00069.31   1.1e-40  135.3   0.0   1.6e-40  134.8   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g253590.p01          -          Pkinase              PF00069.31   1.2e-40  135.2   0.0   1.6e-40  134.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
